,textEn,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags,text,Date
15,@smog_wawerski @ Wozny3 @Pawel_Lachman @RegioPoland @jmpandera @WorldBankPoland @JerzyKwiecinski @ JEmilewicz ...,1115667233345347585,2019-04-09 17:26:11,0,M_Frankowski,237,"Warsaw, Mazovia, Poland",[],@smog_wawerski @Wozny3 @Pawel_Lachman @RegioPoland @jmpandera @WorldBankPoland @JerzyKwiecinski @JEmilewicz…,04-09 
16,@kropka_hu @BrachaRutkowska because better smog from carbon sinks every day than radioactive fallout which does not exist: D,1115665206607265793,2019-04-09 17:18:07,0,runaurufu,54,Poland,[],@kropka_hu @BrachaRutkowska no bo lepszy smog z węglówek na co dzień niż opad radioaktywny którego nie ma :D,04-09 
17,#Listen smog - Nascency [oqko] #subscribe & gt;,1115661668867031047,2019-04-09 17:04:04,0,la_chinerie,766,France,"[{'text': 'Listen', 'indices': [0, 7]}, {'text': 'subscribe', 'indices': [55, 65]}]",#Listen smog - Nascency [oqko] #subscribe &gt;,04-09 
18,And one more thing. Teachers have the right how to strike everyone. Defaming them is stupid. But the form of the strike is a wife ...,1115661194071891969,2019-04-09 17:02:11,1,gw_1990,8627,Kraków,[],I jeszcze jedno. Nauczyciele mają prawo jak każdy strajkować. Obrażanie ich jest głupie. Ale forma strajku jest żen…,04-09 
19,"@_zboral ... Because smog in the old union is more ""democratic"". Timmermans and Junkers will surely explain that.",1115659930890055680,2019-04-09 16:57:10,0,GChocian,9,,[],"@_zboral ... Bo smog w starej Unii jest bardziej ""demokratyczny"". Timmermans i Junkers na pewno tak to wyjaśnią.",04-09 
20,"Is #smog a real threat? The Scientific Espresso with prof. Izabela Sowin from #PWr, dedicated to these ...",1115649665909829632,2019-04-09 16:16:22,0,PWr_Wroclaw,5887,"Wrocław, Polska","[{'text': 'smog', 'indices': [4, 9]}, {'text': 'PWr', 'indices': [96, 100]}]","Czy #smog to realne zagrożenie? Właśnie rozpoczyna się Naukowe Espresso z prof. Izabelą Sówką z #PWr, poświęcone te…",04-09 
21,"RT @_zboral: Air pollution of NO2 (nitrogen dioxide), mainly car exhausts. You say that Poland has the largest ...",1115647640555925504,2019-04-09 16:08:19,126,marekgie1,1421,Polska,[],"RT @_zboral: Zanieczyszczenie powietrza NO2 (dwutlenkiem azotu) czyli głównie spalinami samochodowymi. To mówicie, że Polska ma największy…",04-09 
22,"In a month I have a trip for 3 days to Krakow. Finally, I'll find out what a real smog ohhh yeahhh is",1115640902381383680,2019-04-09 15:41:33,0,git_gud_mcu,350,,[],Za miesiąc mam wycieczkę na 3 dni do Krakowa W końcu dowiem się co to prawdziwy smog ohhh yeahhh,04-09 
23,RT @IlonaJedrasik: My conversation for @tygodnik is now available in full on the Internet: Topics: #climat # coal # el ...,1115631467156127744,2019-04-09 15:04:03,4,JanMencwel,4532,Warszawa,"[{'text': 'klimat', 'indices': [120, 127]}, {'text': 'węgiel', 'indices': [128, 135]}]",RT @IlonaJedrasik: Moja rozmowa dla @tygodnik jest już dostępna w całości w Internecie: Tematy: #klimat #węgiel #el…,04-09 
24,@ ironj23 @ Sympatyk2 @SpringfieldDark @MrAdamSzaj @ sliwowica1 @ Batte1981 @FenomenPIS @ clodin56 Only smog will be 😂,1115630206360936448,2019-04-09 14:59:03,0,OnceUponASol,964,Poland,[],@ironj23 @Sympatyk2 @SpringfieldDark @MrAdamSzaj @sliwowica1 @Batte1981 @FenomenPIS @clodin56 Tylko smog zostanie 😂,04-09 
25,"@kot_o_pies @StKarczewski In the context of the air in Wilanów, I recommend a trip to the nearby housing estates in ...",1115615209777979392,2019-04-09 13:59:27,0,smog_wawerski,270,"Warszawa, Polska",[],@kot_o_pies @StKarczewski W kontekście powietrza w Wilanowie polecam w smogowe dni wycieczkę na pobliskie osiedla d…,04-09 
26,"! ️For many smog is still a myth! ️ ✅We encourage you to read the interview with Magdalena Oskiera, Marketing Director ...",1115614195821830145,2019-04-09 13:55:26,0,PrAhava,7,"Warszawa, Polska",[],"‼️Dla wielu smog to wciąż mit‼️ ✅Zachęcamy do zapoznania się z wywiadem z Magdaleną Oskierą, Dyrektorem Marketingu…",04-09 
27,RT @parysmat: Why are the actors and the Treasury suing the city only for smog? Is this some new fashion in this environment? Someone thinks that it is for you ...,1115609463615053824,2019-04-09 13:36:37,11,ProfesorStepien,267,,[],RT @parysmat: Dlaczego za smog pozywają miasto i Skarb Państwa tylko aktorzy? To jakaś nowa moda w tym środowisku? Ktoś im to wizerunkowo d…,04-09 
28,RT @davideyko: Diesels should disappear from W-wy. Car owners cutting out #DPF and importers of scrap metal should get a volunteer order for oncol ...,1115607766544945154,2019-04-09 13:29:53,6,MiastoJestNasze,7828,"Warsaw, Poland","[{'text': 'DPF', 'indices': [73, 77]}]",RT @davideyko: Diesle powinny zniknąć z W-wy. Właściciele aut wycinający #DPF i importerzy złomu powinni dostać nakaz wolontariatu na onkol…,04-09 
29,@ AGmit47 By smog ... 😉,1115593542519287810,2019-04-09 12:33:21,0,ezoteryczna301,5929,"Poznań, Polska",[],@AGmit47 Przez smog...😉,04-09 
30,@bartyzel @MarekSzolc @NIKgovPL I think I missed my question to @bartyzel. I renew my request for this research regarding #smog ko ...,1115588927103152128,2019-04-09 12:15:01,0,AgataKowalskaTT,3535,,"[{'text': 'smog', 'indices': [107, 112]}]",@bartyzel @MarekSzolc @NIKgovPL Chyba umknęło moje pytanie do @bartyzel. Ponawiam prośbę o te badania dot. #smog ko…,04-09 
31,@M_Frankowski @ Wozny3 @Pawel_Lachman @RegioPoland @jmpandera @WorldBankPoland @JerzyKwiecinski @ JEmilewicz ...,1115588839756697602,2019-04-09 12:14:40,0,smog_wawerski,270,"Warszawa, Polska",[],@M_Frankowski @Wozny3 @Pawel_Lachman @RegioPoland @jmpandera @WorldBankPoland @JerzyKwiecinski @JEmilewicz…,04-09 
32,Think of a family 👍 # family #ecologia #ziemia #dziecko #alergia #smog #zycie #smierc #czystepierztrze # powietrza ...,1115588821519884288,2019-04-09 12:14:36,1,Andrzej92721218,94,"Warszawa, Polska","[{'text': 'rodzina', 'indices': [19, 27]}, {'text': 'ekologia', 'indices': [28, 37]}, {'text': 'ziemia', 'indices': [38, 45]}, {'text': 'dziecko', 'indices': [46, 54]}, {'text': 'alergia', 'indices': [55, 63]}, {'text': 'smog', 'indices': [64, 69]}, {'text': 'zycie', 'indices': [70, 76]}, {'text': 'smierc', 'indices': [77, 84]}, {'text': 'czystepowietrze', 'indices': [85, 101]}, {'text': 'powietrze', 'indices': [102, 112]}]",Pomyśl o rodzinie 👍#rodzina #ekologia #ziemia #dziecko #alergia #smog #zycie #smierc #czystepowietrze #powietrze…,04-09 
33,"Tomorrow in the entire poviat of the Przasnysz ""SMOG"" operation.",1115584764424204288,2019-04-09 11:58:29,0,Infoprzasnysz,40,Polska,[],"Jutro na terenie całego powiatu przasnyskiego działania ""SMOG"".",04-09 
34,"@smog_wawerski @StKarczewski Radni installed air cleaners, which of course smogu will not reduce, but ...",1115577101816619009,2019-04-09 11:28:02,0,kot_o_pies,76,"Warsaw, Poland",[],"@smog_wawerski @StKarczewski Radni zamontowali czujniki czystości powietrza, co oczywiście smogu nie zmniejszy, ale…",04-09 
35,"@StZerko After changing the power, the smog will disappear and the courts will stop awarding damages",1115564700119568384,2019-04-09 10:38:45,0,bij_bolszewika,2,,[],@StZerko Po zmianie władzy smog zniknie i sądy przestaną przyznawać odszkodowania,04-09 
36,RT @ Andrzej92721218: Allergies and air pollution 😱😱😱 #ConnectWithTheWorld #blogpost #smog #allergy #power air #mystepair air # ra ...,1115554901915049984,2019-04-09 09:59:49,3,Philipiak,79,,"[{'text': 'ConnectWithTheWorld', 'indices': [62, 82]}, {'text': 'blogpost', 'indices': [83, 92]}, {'text': 'smog', 'indices': [93, 98]}, {'text': 'alergia', 'indices': [99, 107]}, {'text': 'powietrze', 'indices': [108, 118]}, {'text': 'czystepowietrze', 'indices': [119, 135]}]",RT @Andrzej92721218: Alergie i zanieczyszczenia powietrza 😱😱😱 #ConnectWithTheWorld #blogpost #smog #alergia #powietrze #czystepowietrze #ra…,04-09 
37,RT @ Andrzej92721218: Do you want YOUR CHILDREN to be so tired? Certainly not. 👍 tell you how to help 👍 # heal # # # # # cleanep ...,1115554198278606848,2019-04-09 09:57:01,2,place_wellness,49,Polska,"[{'text': 'zdrowie', 'indices': [105, 113]}, {'text': 'dzieci', 'indices': [114, 121]}, {'text': 'rodzina', 'indices': [122, 130]}]",RT @Andrzej92721218: Czy chcesz aby TWOJE DZIECI się tak męczyły? Na pewno nie. 👍 podpowiem jak pomóc 👍 #zdrowie #dzieci #rodzina #czystep…,04-09 
38,Do you want YOUR CHILDREN to be so tired? Certainly not. 👍 I will tell you how to help 👍 # heal # family # family ...,1115548640431489025,2019-04-09 09:34:56,2,Andrzej92721218,94,"Warszawa, Polska","[{'text': 'zdrowie', 'indices': [84, 92]}, {'text': 'dzieci', 'indices': [93, 100]}, {'text': 'rodzina', 'indices': [101, 109]}]",Czy chcesz aby TWOJE DZIECI się tak męczyły? Na pewno nie. 👍 podpowiem jak pomóc 👍 #zdrowie #dzieci #rodzina…,04-09 
39,"@OMPkrakow @dominikacosic In total, it's Zakopane..this can be a clue! The bustle is, a certain style in the Center also, s ...",1115548237702864896,2019-04-09 09:33:20,0,michaljadczak,7736,,[],"@OMPkrakow @dominikacosic W sumie to Zakopane..to może być trop! Gwar jest, pewien osobliwy styl w Centrum także, s…",04-09 
40,"@OMPkrakow @dominikacosic Thats true. And this smog, damn stinking poor wombs without him in these Bies ...",1115544757231652864,2019-04-09 09:19:30,0,michaljadczak,7736,,[],"@OMPkrakow @dominikacosic Tys prawda. I jeszcze ten smog, cholera podusiłyby się łone biedne bez niego we tych Bies…",04-09 
41,@hwange_ remember about smog mask in krk😳✊,1115543848925712384,2019-04-09 09:15:54,0,MINH0NLY,6545,ᵏ 𝚜𝚔𝚣&𝚋𝚝𝚜 𝚕𝚘𝚟𝚎𝚋𝚘𝚝,[],@hwange_ pamiętaj o masce na smog w krk😳✊,04-09 
42,"@KostkaOlga I have already lost faith in (permanent) change through ""revolutions"" and through cracks - Smolensk, Gdańsk, lu ...",1115536366203494400,2019-04-09 08:46:10,0,kamil_sobieraj,126,,[],"@KostkaOlga Ja straciłem już wiarę w (trwałą) zmianę poprzez „rewolucje” i poprzez pęknięcia - Smoleńsk, Gdańsk, lu…",04-09 
43,@maciej_skr Smog does not smog the heart must be activated to work 💪,1115531637067010053,2019-04-09 08:27:22,0,Szumiel19,2415,"Warszawa, Polska",[],@maciej_skr Smog nie smog serce musi być aktywizowane do pracy 💪,04-09 
44,"@lkwarzecha Comrade, you are already completely smacked with kaczyzmem, this smog does not bother you. 🤪",1115523571349098496,2019-04-09 07:55:19,0,CzSzary,200,,[],"@lkwarzecha Towarzyszu, wy już całkiem zaczadzeni kaczyzmem, to wam smog nie przeszkadza. 🤪",04-09 
45,@ Szumiel19 Morning walk to the store already passed until the smog is not so bad!,1115521282571931648,2019-04-09 07:46:13,0,maciej_skr,78,"Opoczno, Polska",[],@Szumiel19 Poranny spacer do sklepu już zaliczony póki smog nie doskwiera aż tak bardzo!,04-09 
46,@makowski_m You can not hear about her lawsuit against the State Treasury for smog. Here she let herself be overtaken by several friends.,1115514972610727936,2019-04-09 07:21:09,0,BogeyPol,283,"Warszawa, Polska",[],@makowski_m Nie słychać jeszcze o jej pozwie kontra Skarb Państw za smog. Tu dała się wyprzedzić paru koleżankom.,04-09 
47,"@J_Koscinska Warsaw plans to liquidate in 2019 ""up to 3% of mugs. The next season will be unchanged. Money ...",1115500390399787009,2019-04-09 06:23:12,0,smog_wawerski,270,"Warszawa, Polska",[],"@J_Koscinska Warszawa planuje zlikwidować w roku 2019 ""aż"" 3% kopciuchów. Kolejny sezon będzie bez zmian. Pieniędzy…",04-09 
48,@kot_o_pies @StKarczewski Please ask a little closer. In the Warsaw town hall or councilors of Warsaw from Wilanów ...,1115499047425597440,2019-04-09 06:17:52,0,smog_wawerski,270,"Warszawa, Polska",[],@kot_o_pies @StKarczewski Proszę pytać trochę bliżej siebie. W warszawskim ratuszu lub radnych Warszawy z Wilanowa.…,04-09 
49,"In the fight against exhaust emissions, London introduces the harshest regulations in the world - # ecology ...",1115493129518551040,2019-04-09 05:54:21,0,FundacjaIRME,365,"Poznań, Polska","[{'text': 'ekologia', 'indices': [101, 110]}]",W walce z emisją spalin Londyn wprowadza najostrzejsze przepisy na świecie - #ekologia…,04-09 
50,@_zboral @ AnnaKargul1 smog is not just NO2 ...,1115492545587445762,2019-04-09 05:52:02,0,WojnaUkrainska,291,Polska,[],@_zboral @AnnaKargul1 smog to nie tylko NO2...,04-09 
51,Report of the European Commission devastating for Poland. We have not been able to fight smog or waste recycling - ...,1115488626505322496,2019-04-09 05:36:27,0,FundacjaIRME,365,"Poznań, Polska",[],"Raport Komisji Europejskiej druzgocący dla Polski. Nie udały nam się ani walka ze smogiem, ani recykling odpadów -…",04-09 
52,"We invite you on Monday, 15/04 to #Sstron #smog #OZE @kmksiezopolski",1115488440156598272,2019-04-09 05:35:43,0,ISECS_PL,23,Warszawa,"[{'text': 'Ustronia', 'indices': [59, 68]}, {'text': 'smog', 'indices': [69, 74]}, {'text': 'OZE', 'indices': [75, 79]}]",Zapraszamy w poniedziałek 15.04 do #Ustronia #smog #OZE @kmksiezopolski,04-09 
53,Daily smog report - 9/04/2019 - by @swiatoze #ekologia # środowiska # natura ...,1115487613585117184,2019-04-09 05:32:26,0,FundacjaIRME,365,"Poznań, Polska","[{'text': 'ekologia', 'indices': [79, 88]}, {'text': 'środowisko', 'indices': [89, 100]}, {'text': 'natura', 'indices': [101, 108]}]",Codzienny raport smogowy – 9.04.2019 - przez @swiatoze #ekologia #środowisko #natura…,04-09 
54,"The air quality has improved significantly, especially on the example of Warsaw, where yesterday was terrible, ...",1115486743661305856,2019-04-09 05:28:59,0,SwiatOZE,301,,[],"Jakość powietrza znacząco się poprawiła, szczególnie widać to na przykładzie Warszawy, gdzie wczoraj była fatalna,…",04-09 
55,"RT @ Salon24pl: Lesław Żurek, known from the films ""Mała Moskwa"", ""Blind date"", ""Smaller evil"", sued the Treasury ...",1115379945583280130,2019-04-08 22:24:36,6,zajda76,941,Polska,[],"RT @Salon24pl: Lesław Żurek, znany z filmów ""Mała Moskwa"", ""Randka w ciemno"", ""Mniejsze zło"", pozwał Skarb Państwa…",04-08 
56,"@cezarygmyz @zuzanna_dab is what she said that when PIS began to rule, it started smog in Poland and ...",1115367065098047490,2019-04-08 21:33:25,0,BozennaStas,22,,[],"@cezarygmyz @zuzanna_dab to ta co powiedziała , że jak zaczął rządzić PIS to zaczął się też smog w Polsce i do…",04-08 
57,Allergies and air pollution 😱😱😱 #ConnectWithTheWorld #blogpost #smog #alergia #powietrze # czystepermintrze ...,1115360994753241088,2019-04-08 21:09:18,3,Andrzej92721218,94,"Warszawa, Polska","[{'text': 'ConnectWithTheWorld', 'indices': [41, 61]}, {'text': 'blogpost', 'indices': [62, 71]}, {'text': 'smog', 'indices': [72, 77]}, {'text': 'alergia', 'indices': [78, 86]}, {'text': 'powietrze', 'indices': [87, 97]}, {'text': 'czystepowietrze', 'indices': [98, 114]}]",Alergie i zanieczyszczenia powietrza 😱😱😱 #ConnectWithTheWorld #blogpost #smog #alergia #powietrze #czystepowietrze…,04-08 
58,"@ MarSz20370226 @Broniarz This is the PiS strategy. People are to die out so that the lower social pay. Smog +, le ...",1115358431567917056,2019-04-08 20:59:07,0,aramil777,291,"Warszawa, Polska",[],"@MarSz20370226 @Broniarz Taka jest właśnie strategia PiS. Ludzie mają wymrzeć, żeby niższy socjal płacić. Smog+, le…",04-08 
59,RT @PrazonaCebula: Grzegorz Schetyna and the painful struggle with reality ... #schetyna #platformaobywatelska #smog #unia-europska # stophip ...,1115355325887070214,2019-04-08 20:46:46,19,admiral1637,95,"Gdynia, Polska","[{'text': 'schetyna', 'indices': [77, 86]}, {'text': 'platformaobywatelska', 'indices': [87, 108]}, {'text': 'smog', 'indices': [109, 114]}, {'text': 'uniaeuropejska', 'indices': [115, 130]}]",RT @PrazonaCebula: Grzegorz Schetyna i bolesne zmagania z rzeczywistością... #schetyna #platformaobywatelska #smog #uniaeuropejska #stophip…,04-08 
60,Why are the actors and the Treasury suing the city and the Treasury? Is this some new fashion in this environment? Someone is seeing them ...,1115352449253089280,2019-04-08 20:35:20,11,parysmat,6511,"Warszawa, Polska",[],Dlaczego za smog pozywają miasto i Skarb Państwa tylko aktorzy? To jakaś nowa moda w tym środowisku? Ktoś im to wiz…,04-08 
61,RT @ Andrzej92721218: Do you want your family? Maybe children? Maybe older parents? Have you been happier with a healthy life? BALLU purifier ...,1115352292394508293,2019-04-08 20:34:43,2,place_wellness,49,Polska,[],RT @Andrzej92721218: Czy chcesz aby twoja rodzina? Może dzieci? Może starsi rodzice? CIESZYLI się dłużej zdrowym życiem? Oczyszczacz BALLU…,04-08 
62,"RT @GrzybAndrzej: For the running and all practicing physical activity in the air, without #smog, it's a matter of health and even life ...",1115351840978350082,2019-04-08 20:32:55,6,Adam86544973,11,"Wielkopolskie, Polska","[{'text': 'czystepowietrze', 'indices': [80, 96]}, {'text': 'smog', 'indices': [102, 107]}]","RT @GrzybAndrzej: Dla biegających i wszystkich uprawiających aktywność fizyczną #czystepowietrze, bez #smog, to sprawa zdrowia, a nawet życ…",04-08 
63,Do you want your family? Maybe children? Maybe older parents? Have you been happier with a healthy life? BAL Purifier ...,1115351451168137221,2019-04-08 20:31:22,2,Andrzej92721218,94,"Warszawa, Polska",[],Czy chcesz aby twoja rodzina? Może dzieci? Może starsi rodzice? CIESZYLI się dłużej zdrowym życiem? Oczyszczacz BAL…,04-08 
64,"more expensive tickets in cracow nice will certainly help in choosing public transport instead of a car, to overcome smog, genius",1115340247200612354,2019-04-08 19:46:51,83,unaagix,13208,,[],"drożeją bilety w krakowie nice z pewnością to pomoże w wyborze komunikacji miejskiej zamiast samochodu, żeby zniwelować smog, genius",04-08 
65,"#Kopciuchy only poison in the winter? No. When @warszawa will liquidate even 10% of mugs or 2,000 (including ...",1115336176582500354,2019-04-08 19:30:41,0,smog_wawerski,270,"Warszawa, Polska","[{'text': 'Kopciuchy', 'indices': [0, 10]}]",#Kopciuchy trują tylko zimą? Nie. Kiedy @warszawa zlikwiduje choć 10% kopciuchów czyli 2 tysiące (w tym przede wszy…,04-08 
66,"Yeah. Because, of course, you can not promote important values: love, tolerance. Drugs? Global warming? Smog? ...",1115335556182024193,2019-04-08 19:28:13,2,Wilczek11234,308,,[],"Taaa. No bo przeciez nie mozna promowac waznych wartosci: milosci, tolerancji. Narkotyki? Ocieplenie klimatu? Smog?…",04-08 
67,"Smog in the villages is growing. In Europe? No, only in Poland - #ecology # environment # nature ...",1115323448170098688,2019-04-08 18:40:06,0,FundacjaIRME,365,"Poznań, Polska","[{'text': 'ekologia', 'indices': [80, 89]}, {'text': 'środowisko', 'indices': [90, 101]}, {'text': 'natura', 'indices': [102, 109]}]","Smog na wsiach rośnie. W Europie? Nie, tylko w Polsce - #ekologia #środowisko #natura…",04-08 
68,@ ankam50 @AndrzejDuda You did not understand again. I am writing to the President so that he may restrain his incentives to leave ...,1115323393061134336,2019-04-08 18:39:53,0,JacekCzarnecki1,10532,,[],@ankam50 @AndrzejDuda Znowu pani nie zrozumiała. Ja piszę do Prezydenta by może pohamował swoje zachęty do wychodze…,04-08 
69,"@SameDobreMiadom @DiesIrae_pl @ Ty2_911 @_zboral Not really. As you can see in Chinese cities, when you enter ...",1115317309349015554,2019-04-08 18:15:42,0,BalcerekJozef,1321,,[],"@SameDobreWiadom @DiesIrae_pl @Ty2_911 @_zboral Nie do końca. Jak widać po chińskich miastach, gdy wprowadzano zaka…",04-08 
70,@ JacekCzarnecki1 @AndrzejDuda Smog is the fault of President Dudy😂😂😂Gimbaza for lemmings.,1115316146612391936,2019-04-08 18:11:05,0,ankam50,211,PL,[],@JacekCzarnecki1 @AndrzejDuda Smog to wina Prezydenta Dudy😂😂😂Gimbaza proszę dla lemingów.,04-08 
71,@wesoly_smok @Gasiuk_Pihowicz Page do not state precisely what and how much it hangs in the air. My guess is that with such ...,1115313179674988548,2019-04-08 17:59:18,0,JedrasikMicha,4,,[],"@wesoly_smok @Gasiuk_Pihowicz Strona nie podaj precyzyjnie, co i ile wisi w powietrzu. Domyślam się, że przy takiej…",04-08 
72,@skrupulatny @MarcinNiewalda When the smog comes too far ...,1115306066030530560,2019-04-08 17:31:02,0,KwiatekP,38,,[],@skrupulatny @MarcinNiewalda Gdy smog wejdzie za mocno...,04-08 
73,@scream_of_love We came up with the taste of Krakow on the way from the ice-cream parlor. Our proposals Olga - obwarzanek Gabryśka - ...,1115303665152221185,2019-04-08 17:21:29,0,akki_arata,227,"Kraków, Polska",[],@scream_of_love Wymyślaliśmy dziś w drodze z lodziarni smak Krakowa. Nasze propozycje Olga - obwarzanek Gabryśka -…,04-08 
74,"@akki_arata well, that's not smog 🤣",1115303126884597760,2019-04-08 17:19:21,0,scream_of_love,525,gays' world,[],"@akki_arata dobrze, że nie smog 🤣",04-08 
75,My conversation for @tygodnik is now available in full on the Internet: Topics: # climate ...,1115301591467417600,2019-04-08 17:13:15,4,IlonaJedrasik,593,"Warsaw, Poland","[{'text': 'klimat', 'indices': [101, 108]}]",Moja rozmowa dla @tygodnik jest już dostępna w całości w Internecie: Tematy: #klimat…,04-08 
76,@DariuDao @RadekZKraka @lukasz_kulpa It's postulates from Radio ZET (cacy because not Kurski is true?). No TV is watching ...,1115301571565428738,2019-04-08 17:13:10,0,derfidel,142,"Śląskie, Polska",[],@DariuDao @RadekZKraka @lukasz_kulpa To postulaty z Radio ZET (cacy bo nie Kurskiego prawda?). Zadnej TV nie oglada…,04-08 
77,This dialogue has brought me down: Does smoking during the farmers' protest increase smog? Michał Kołodziejczak: Three days s ...,1115301484491628548,2019-04-08 17:12:49,1,Topinambura1,47,Strefa komfortu,[],Ten dialog mnie powalił: Czy palenie opon podczas protestu rolnikow zwieksza smog? Michał Kołodziejczak: Trzy dni s…,04-08 
