,post,date,user,vote,image
13,"               Mircy, I wrote a module displaying air pollution based on precise GIOŚ sensors. The minus is that the sensors are not enough, but I used a trick. Namely, I use the map of urbanization of the country and weather conditions to more accurately predict the concentration of pollutants in places where there is no sensor. I rely on the phenomenon of continuity of conditions and similarity. What do you think about it?  https://antistorm.eu/zanieczyszczenia-powietrza.html  #antistorm #power #air pollutionof #ecology #climat #smog show the whole   +: Niggalke, notdot  ",2019-01-08 09:43:28,mathmed,2,
14,"               It smog passed and turned on the sensors -.-  #smog #katowice . . . click to expand the picture. . source: embed.jpg   +: patologia_deluxe, JaNo85 +5 others  ",2019-01-08 09:00:40,mendrix,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_fZA8Qn0oBgoX3pspWyHh9E5lqbdj7PQJ,w400.jpg""/>"
15,"               #heheszki #smog source: 1546929365890.jpg   +: pathologia_deluxe, asurbanipal_ +1 other  ",2019-01-08 07:36:25,Zwardi,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_PEDMUWvMIadTDVaWwc2MhlDWHiNrCHSb,w400.jpg""/>"
16,"               #krakow #smog source: 2019-01-07 22_47_21-Window.png   +: slavas, must + 1 other  ",2019-01-07 22:51:24,kubica941,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_24N1JRl5PkA22T0uByCVTaqzvUttE0AD,w400.jpg""/>"
17,"               #rzeszow #kanarek I still hope that this is just a mistake in the app ... #smog . . . click to expand the picture. . source: 1546897102800.png   +: mother19002, producer_smog +5 others  ",2019-01-07 22:39:01,adk,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_bjOrPxevyYLRq3FXvbtQRyJ4OQOEJBqd,w400.jpg""/>"
18,"               #water #smog # air contamination  While the fronts and low-pressure bays traveled over Poland, the smog problem did not occur or was at a very low level. The stronger wind associated with pressure differences aired all pollutants regularly. At the moment, however, we are in a windless high-pressure wedge, and the wind completely died down. The situation has changed dramatically.  Cheer from horrid Rzeszów (͡ ° ʖ̯ ͡ °) show the whole source: 1.png   +: Psdziad, walkers +3 others  ",2019-01-07 20:21:14,Kruchevski,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_POLF9JVqs78MV32kqhcaewJeq1Bqms2p,w400.jpg""/>"
19,"               Cool this Rybnik, not so visible  #that #smog source: rybnik.com.pl   +: MeeF, kaziu12 +6 others  ",2019-01-07 16:39:13,Damasweger,8,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_dsi1hZbwdTE7NgywQ1Pr7XvWarWlolAl,w400.jpg""/>"
20,"               401352.95 - 12.11 = 401340.84  Today I woke up even early, but something was hard to get out of the bed (͡ ° ͜ʖ ͡ °) As I got out, it was necessary to handle the hairs, find clothes hung out after four dryers and you could start the procedure to finally take off evenly 5. Outside very nice - weakening, but still effectively dissolving class = ""bgfbfbd3""> smog",2019-01-07 13:50:54,enron,17,
21,"               401382.55 - 6.70 - 6.90 - 16.00 = 401352.95  Yo! Last week, after the start at Sylwek, I rested for two days because I felt that I needed it. In the past, I traveled a bit in situations when, after starting and max, I was running too fast - it caused too much load and I ended up injuring myself once. On Wednesday, a lot of work on the roller. On Thursday, I ran regenerative almost 7k through the center of Bydgoszcz - the wind smudged and ran mega pleasantly, because my heart rate showed that I intend to return to normalcy. On Saturday, in turn, there were to be light intervals, 4x1000m at 4:45 on a two-minute break, but because I drank wine on Friday, I went to sleep late and slept badly, I had to run a bit slower. On Sunday, on the moving giras, I flew to the forest for an hour and a half running - I missed it. Have a nice week!  #taffeta #ruszbydgoszcz #bieganie #ruszmirko show the whole   +: Akuku69, Kinja +15 others  ",2019-01-07 12:43:08,esuwir,17,
22,"               The Popes choose ... Btw. the boiler room belongs to the commune  #smog #payment #podlasie #alarmsmogowy #aakmuchair #polska #wies source: IMG_20190107_110434.jpg   +: redcor3, silo1408 +5 others  ",2019-01-07 11:15:04,Laargoo,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_JBa8y426LtN1haRM8dbcPYxGMPfZWdUt,w400.jpg""/>"
23,"               #zabrze #slask #smog #air It is a misunderstanding. You can not breathe, PM2.5 norms soaked with 750%. 500m visibility, drama. Nobody controls it, they smoke muck shit and trash debris, City of 150,000 inhabitants of Polish garbage, not Europe. ""Zabrze is beautiful."" Religa turns over in the grave. show the whole source: IMG_20190107_093402.jpg   +: SonyKrokiet, Bander22 +15 others  ",2019-01-07 10:53:10,balbezaur,17,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_WP4Y5GvtNM1KYTeNZRhVaxtkGx1VCIyp,w400.jpg""/>"
24,"               Maybe some #kopopefekt?  GIOS sensors lie to reality  #katowice #krakow #krakowskialarmsmogowy #afera #smog #zebroplusy show whole source: embed.jpg   +: RRybak, koxok +13 others  ",2019-01-07 09:24:23,mendrix,15,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_FCihBG71EgDIJw4c7qkBzhGS4zOISLAn,w400.jpg""/>"
25,"               #research live there? I feel like I have entered a shadow or something (͡ ° ͜ʖ ͡ °)  #smog source: 20190107_091931.jpg   +: Damasweger, Kachlok +5 others  ",2019-01-07 09:21:21,Ar_0,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_ORJvc3AKRY3B1iCfufA5aMjW1n5RdriV,w400.jpg""/>"
26,               (͡ ° ʖ̯ ͡ °)  #lodz #smog . . . click to expand the picture. . source: Screenshot_20190107-085818.png   +: slavas  ,2019-01-07 09:00:05,miguelpl90,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_TWk5HyATgssFJRP7aeHBlUm3imlF8Op2,w400.jpg""/>"
27,"               Why are there no air quality sensors in Katowice? Application error or deliberate action to hide bad air quality?  #smog #katowice #afera #aak air #alarmsmogowy . . . click to expand the picture. . source: embed.jpg   +: mustol108, Jockeyek +14 others  ",2019-01-07 08:44:50,mendrix,16,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_qsJj2giLQnXRe1HVuFbvTp971xET4eSA,w400.jpg""/>"
28,"               Greetings #krakow which today has exceptionally clean air so far #smog #gownowpis . . . click to expand the picture. . source: Screenshot_20190107-063028.jpg   +: Falcon999, comprehendme +4 others  ",2019-01-07 07:11:18,Seliev,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_mqgC8M1FgtvouZNlSKmTUfV6b66N2L6T,w400.jpg""/>"
29,"               #smog from #lodz greets #krakow   +: 1pikoFarad, slavas +1 other  ",2019-01-07 06:53:06,BrakKontaNaFejsie,3,
30,"               jprdl In Szopienice it stinks so badly that it is going to suffocate as the tram will open the door. #katowice #smog #zalesie   +: wpiotr2221, Annnusz +3 others  ",2019-01-06 16:37:10,motaboy,5,
31,"               Drivers from Rapid Blueprint Company receive gas masks, USA 1955.  Motorcycle messengers from the Rapid Blueprint Company are equipped with gas masks for work in 1955.  About smog in Los Angeles  #starszezwoje - blog with old graphics, copperplates, drawings from museums and photographs  #history #httpots #httpictureshistorical #gramgroup #phonhistory #us #myrmekochoria show whole source: cdn-images-1.medium.com   +: klauiel, pestis +15 others  ",2019-01-05 12:04:03,myrmekochoria,17,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_pEXZaihOT3UUgo5mHXCm2jeeJwDq4Lgg,w400.jpg""/>"
32,"               I have a topic for shooting a small one. I just wanted to buy a ton of coal, the seller said that due to the new regulations that came in from 2019 he must get from me such data as the pesel and the number of evidence. As I understand it is smog and all, but there are limits. I can already see how confidential personal data collapses in coal stores. The scourge of loans is being prepared ... If someone wants a hot topic, he can do a find. #afera show the whole   +: Czaajnik, Rapepo +1 other  ",2019-01-05 11:47:18,C.....u,3,
33,"               Wrocław in 1970 (͡ ° ͜ʖ ͡ °) Exactly this is the intersection of Świdnicka and Piłsudskiego streets. It was nice, no one worried about the smog, and the streets themselves were ""classics"" (͡ ° ͜ʖ ͡ °)  #miejscawewroclawiu #wroclaw #historia #motoryzacja  Photo: Fotopolska collection source: pilsudskiego wroclaw mww fotopolska .jpg   +: Beer_Is_Good_For_You, sl500 +180 others  ",2019-01-05 08:11:16,MiejscaWeWroclawiu,182,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_wPvIivTUSLg6LP4kOi0Yzn31kOG1AOJL,w400.jpg""/>"
34,"               I came to Krakow and found a tank-like pigeon with XD smudged  I hate motherfuckers, well, that's breathtaking.  #humoric #heheki #golebie #karma #krakow #smog source: 1546617980888.JPG   +: Obsrana_Zbroja26, porBorewicz07 +41 others  ",2019-01-04 17:04:57,aleksandrett,43,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_MBme2feCfkGVbwoT19vw36YiOEJDa3c9,w400.jpg""/>"
35,"               It's amazing how a few cinders affect local air quality. The sensor on the left is on the gas fired housing estate. The one on the right last time they gave much higher, earlier it was on the height of about 2.5m now a good 5-7 on the mast .... It did not help much #krakow #green #smog #airly . . . click to expand the picture. . source: 1546539579984.png   +: kolor_jarmarki, Ostatni_Sarmata +5 others  ",2019-01-03 19:20:20,Gooma,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_76b7fPt3IrGniNxOOMBVjKAitx61rWkX,w400.jpg""/>"
36,"               #krakow #airly #smog #smogkrakowski  And apparently, Krakow is the capital of smog (✌ ゚ ∀ ゚) ☞ . . . click to expand the picture. . source: 1546530804520.airly.android.jpg   +: petrus, Paputka +4 others  ",2019-01-03 16:54:35,Esseker352,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_ublVL4q7vBEC8H0aFrQY0wNSS9KJaXzx,w400.jpg""/>"
37,"               402251.08 - 14.26 = 40,223.82  Waking up quite early, but somehow I was mawing and took off the point at 5 am.  If yesterday's run was a journey through torment, it is pure pleasure today. At last fair -3 ° C, and the calcutary yesterday's catapult simply evaporated, and the wind increased and smudged the rest. It was true that this was a serious case of wmordewind, but it was worth it (͡ ° ͜ʖ ͡ °)  The start was quite cool, but somehow on the sixth kilometer something started to drop me (probably due to the mentioned wmordewind) and then somehow I was unable to get together. But still the whole race was very pleasant, mainly due to the cool weather conditions - and although the pace turned out poor (5:06 min / km), I'm still satisfied (͡ ° ͜ʖ ͡ °)  Tomorrow is a replay and on Saturday I can finally run something longer. Only...  THERE'S THE WINTER, THERE!  and #zimonapierdalaj (͡ ° ͜ʖ ͡ °)  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: irritation of the clone, tomekkp +14 others  ",2019-01-03 12:53:16,enron,16,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_h1VY386Tp6LFBeNQh1W81TdbJOwYJtaK,w400.jpg""/>"
38,"               I will tell you that after 2 weeks in Poland, returning to #uk is a shock for my respiratory system. I was not even in the south where it is said to be terrible, but anyway smoke from chimneys and fireplaces causes ubiquitous spirit and heavy, smelly air. 2 weeks of a blocked nose and cold, yesterday I come back and not a trace of the gas, and the air seems fresh and pleasant.  #smog #industrializing the whole show   +: reddevilet, ejrafi +13 others  ",2019-01-03 12:08:20,Kozajsza,15,
39,"               The most common causes of heart attacks in Krakow in 2019 1. Smog 2. Diet 3. Machete applied to the throat.  By the way, in this whole cabaret, it's just fine that there is no. After all, he was not only a surname, an employee of the Moscow embassy in the times of the Soviet Union. #Wisla Krakow   +: writer, nosacz_ninja  ",2019-01-02 22:06:49,kierownik_internetu,2,
40,"               Operation Vanna Ly is a masterpiece.    Living in polluted air, exposure to smog intensifies the symptoms of cardiovascular diseases already diagnosed, threatens cardiac arrhythmia, heart attack, stroke, cardiac arrest, but also leads to the development of these diseases, the emergence of atherosclerosis, and circulatory insufficiency.  So I understand that now Vanna will apply for damages to the authorities #krakow (͡ ° ͜ʖ ͡ °) #wislakrakow show the whole   +: phoe, enron +4 others  ",2019-01-02 19:31:28,bonpensiero,6,
41,"               Vanna Ly was supposed to have a heart attack, and you continue to smoke in furnaces. You have a man on your conscience. Wisła Kraków will also fall through your smog. Shame of a cry, shame! #Wisla Krakow   +: Hekken, perasperaadopelastra +19 others  ",2019-01-02 18:16:01,niemamnasmsy,21,
42,"               Have some such clean air today, enjoy it while you can!  show a spoiler A few km from Szczecin (͡ ° ͜ʖ ͡ °)  #czisteprowadztrz #zanieczyszczenie aerowa #smog #szczecin source: smog_test_low.jpg   +: lubie-cheesecake, Destruktor91  ",2019-01-02 16:08:20,Kubaa001,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_BFjyLZrFhVp19yH3GMvcRCQwLp5eHOqE,w400.jpg""/>"
43,"               #urojeniakakakalne #bekazprawakow #smog #neuropa IKS de source: xd.jpg   +: slavas, ZaplutyKarzelReactions +74 others  ",2019-01-02 13:44:15,BojWhucie,76,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_SqXPs4O8xOZrRRfg6bOQHJxvjzXNSgGX,w400.jpg""/>"
44,"               Mireczki from the area of ​​the sea street in #koszalin, I recommend dressing anti-smog masks because your Mr. somsiad will be firewood furniture  # you do not #smog source: IMG_20190102_123208.jpg   +: Evident Abandoned World, Kubuni +1 another  ",2019-01-02 13:24:45,Pulton,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_azDalF9r4zukx4GdppMJK8wRIi298J9q,w400.jpg""/>"
45,"               #msalamon Hello! We have winter and as we know for the past years, #smog is attacking us sharply. It is worth knowing the level of pollution on the outside and decide if there is a sense to go out, for example, to run. Recently, I posted a post about handling the SDS011 air pollution sensor using # stm32 https://msalamon.pl/pomiar-czystosci-powietrza-przy-pomocy-sds011/ I invite you to read :)  #programming show the whole   +: lucas94, zwei +3 others  ",2019-01-02 12:43:06,msalamon,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_YmNqWwZgZPi6cI9bMUxrW5GjFVYYDLXX,w400.jpg""/>"
46,"               Hi, below in the #lowcychin tag, I present interesting coupons and promotions for #gearbest and #banggood stores ---------- For more interesting coupons and promotions, visit the LowcyChin.pl website ----------------------- Click HERE to go to all exclusive coupons. -----------------------  ------------------ Gearbest: ------------------  1. Duplicator A032 self-copying copier Price with shipping: $ 3.74 / ~ PLN 14  2. Clamp meter ANENG DT3266L multimeter Price with shipping: $ 5.44 / ~ 20 PLN  3. A lamp with a motion sensor Xiaomi Mijia MJYD01YL Price with shipping: $ 10.14 / ~ PLN 38  4. Gocomma i300Pro Car OBD2 diagnostic interface Price with shipping: $ 17.07 / ~ 64 PLN  5. Sonic speaker Alfawise RST2056 Price with shipping: $ 17.99 / ~ PLN 67  6. Battery charger Liitokala Lii - 500 from the Czech Republic Price with shipping from the Czech Republic: $ 27.54 / ~ 103 PLN  7. Alfawise P1 air cleaner from Poland Price with shipping from Poland: $ 43.99 / ~ PLN 165  8. Vacuum cleaner Alfawise FJ166A from the Czech Republic Price with shipping from the Czech Republic: $ 95.27 / ~ 358 PLN Last items!  9. Alfawise X projector from Poland Price with shipping from Poland: $ 135.99 / ~ PLN 509 Last items!  10.Elephone A5 4 / 64GB Price with Priority Line shipment: $ 199.49 / ~ 747 PLN  11.Xiaomi Mi Play 4 / 64GB Price with Priority Line shipment: $ 269.99 / ~ PLN 1014  12. Xiaomi FIMI A3Dron Price with Priority Line shipment: $ 275.99 / ~ 1033 PLN  13. Scooter Xiaomi M365 Europe Version Price with Priority Line shipment: $ 369.99 / ~ PLN 1389  14. Ninebot Segway ES2 from Poland Price with shipping from Poland: $ 390.39 / ~ PLN 1468  15.Laptop Jumper EZbook 3 Plus Notebook Price with shipping from Poland: $ 399.99 / ~ 1505 PLN Last items!  16. DJI Osmo Pocket Gimbal Price with Priority Line shipment: $ 405.99 / ~ PLN 1520  17th Street Xiaomi FIMI X8 SE Price with Priority Line shipment: $ 439.00 / ~ 1649 PLN  ------------------ Banggood: ------------------  1. XANES 1102 L2 5Modes 1600 Lumens USB player Price with shipping: $ 6.29 / ~ PLN 23  2. Set of parts for the Xiaomi vacuum cleaner Price with shipping: $ 7.69 / ~ 29 PLN  ----------------------------------  #lowcychin <==== Follow If you want to be called, write in a comment ==> @lowcychin wants to be called I also invite you to the telegram channel -------> https://t.me/LowcyChinpl  -----------------------------------  #dron #drony #djiosmo #gimbal #dji #laptop #laptop #miplay #xiaomi #telephones # es2 # m365 #Electric scool #elephone #motorMail #latters #latarka #projektor #projektory #oczyszczaczpowietrza #smog  show spoiler Direct links:  https://www.banggood.com/Main-Brush-Filters-Side-Brushes-Accessories-For-XIAOMI-MI-Robot-Vacuum-Home-Applicance-Part-p-1318153.html? https://www.banggood.com/XANES-1102-L2-5Modes-1600-Lumens-USB-Rechargeable-Camping-Hunting-LED-Flashlight-18650-p-1352128.html https://www.gearbest.com/cell-phones/pp_009122554634.html?wid=1433363 https://www.gearbest.com/other-car-gadgets/pp_682240.html https://www.gearbest.com/projectors/pp_1412191.html?wid=1101231 https://www.gearbest.com/air-purifier/pp_009648919383.html?wid=1101231 https://www.gearbest.com/upright-vacuums/pp_009482578323.html?wid=1640583 https://www.gearbest.com/chargers/pp_228909.html?wid=1640583 https://www.gearbest.com/night-lights/pp_672506.html? https://www.gearbest.com/kick-scooter/pp_009853851321.html?wid=1101231 https://www.gearbest.com/obd-diagnostic-tools/pp_009899837757.html?wid=1433363 https://www.gearbest.com/laptops/pp_654248.html?wid=1101231 https://www.gearbest.com/tooth-care/pp_009442631892.html?wid=1433363 https://www.gearbest.com/scooters-and-wheels/pp_974669.html?wid=1349303 https://www.gearbest.com/gimbal/pp_009942804701.html?wid=1349303 https://www.gearbest.com/rc-quadcopters/pp_009975912406.html?wid=1349303 https://www.gearbest.com/rc-quadcopters/pp_009541810205.html?wid=1349303 https://www.gearbest.com/cell-phones/pp_009694837238.html?wid=1817324 https://www.gearbest.com/multimeters-fitting/pp_009920046623.html?wid=1433363 show whole . . . click to expand the picture. . . source: Vouchers and promotions of LowcyChin.pl dated 01/01/2019.png   ",2019-01-01 18:55:33,LowcyChin,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_v1dlE6s3k3KAiiThgvmYdrGInzO2CR84,w400.jpg""/>"
47,"               I went several dozen kilometers yesterday to take a photo of the action #wroclawniestrzela but clouds (or smog) that hung over the city prevented me. There is something like this below, it's not a wonderful photo, but so much I went, it's a pity to add nothing ¯ \ _ (ツ) _ / ¯. Behind one of the larger fireworks you can see the characteristic lighting of the Wrocław penis.  Happy New Year! #wroclaw #fotografia #sakowisz #tworczoscwlasna #gorzkiezale show the whole source: sakowi.cz   +: AnotherVykopowyJanusz, vetroo +67 others  ",2019-01-01 11:51:38,giebeka,69,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_oS9GcAwJhx7kF0G1E90jquBA2kBkeu9O,w400.jpg""/>"
48,"               Hello! On the occasion of the New Year 2019, together with the #gearbest store, I organize #rozdajo #oczyszczaczpowatrza #alfawise and #xiaomi # miband3  Just post this entry to participate in the draw.  To win the Alfawise P1 and Xiaomi Mi band 3 air purifier  I encourage you to follow the #chinskacebula tag and #chinskacebulakupony, because if the entry receives a lot of pluses, it will be the next deal.  2 people win. The draws will take place on 05/01/2019 at about 10:00. The first drawn person will receive an air purifier, another band of me 3.  The person with the most pluses from the comment will get a surprise.  I encourage you to take part in the draw and wish you a Happy New Year. :)  show spoiler https://www.gearbest.com/air-purifier/pp_009648919383.html?wid=1640583 https://www.gearbest.com/smart-watches/pp_009283725849.html?wid=1349303 #miband #zadarmo #smog #cebuladeals  show the whole source: rozd.jpg   +: emerjot, jkbck +8231 others  ",2019-01-01 11:27:30,polu7,8233,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_f8GpwnKxg6IbrulP9rQY9LuyDpBdFibN,w400.jpg""/>"
49,               New Year's Eve is something beautiful because the norms come out of homes and poison fireworks :) #smog #zdrowie #normictwo   ,2019-01-01 01:05:13,RoastieRoast,0,
