,post,date,user,vote,image
12,               #smog such we have the climate (╥﹏╥) #warszawa pod . . . click to expand the picture. . source: Screenshot_2019-01-22-22-24-15-784_en.tajchert.canary.png   +: slavas  ,2019-01-22 22:25:08,dj-disco,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_ADsqI7Ynl1v4gP80x8GUHt8zWCEILEjq,w400.jpg""/>"
13,"               Is there a current ranking of the most polluted places in Poland available? For now, I found only this international city covering big cities like #wroclaw https://www.airvisual.com/world-air-quality-ranking But I care about one that will take into account all sensors class = ""bgfbfbd3""> smog",2019-01-22 21:56:18,Promilus,1,
14,"               Are we going to record? #wroclaw #smog . . . click to expand the picture. . source: 1548189191195.tajchert.canary.png   +: rybak_fischermann, BBlaska +4 others  ",2019-01-22 21:33:29,bachus,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_mqUOMbNZrHBamST81rjjeBSTOjda2UAo,w400.jpg""/>"
15,"               xD #heets #krakow #smog #smogboners #zajebaneztwittera source: 1548188576180.png   +: jabl, Janusz_z_Galilei +24 others  ",2019-01-22 21:22:58,WOXDDD,26,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_X7hVxcXaVdm2EeMH3uLoesRrLnxV85pH,w400.jpg""/>"
16,"               I still understand Naramowice, because without much service Janas in single-family houses, but what about fuck goes on Towarowa?  #smog #poznan source: Screenshot_20190122-210804_Canary.jpg   +: ev3r, Osiedlowydiler +4 other  ",2019-01-22 21:09:19,jaroty,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_77rRPBS3BM2pGJdSrdF51xBU2AgXzi3J,w400.jpg""/>"
17,"               #zabrze #slask #smog #power air #chlewobsranygownem #airly #airproofing Japierdole. Once again I hear that it is smog because people smoke with coal and not garbage. I invite you to Karol Szymanowski street. Zabrze Center, eat a plastic from one of the tenement houses. It just can not be breathed. One breath and I almost got sick. The whole smell of this habitat ... typical smell of burning plastic. These jokes about burning junk really cease to be funny when dealing with them. Drama. How to live in harmony as we care for our own tip of the nose. I am little poisoned by you, your children and yourself. Photo from today. Drama. Instead of 500+, it can be used for heating, a surcharge of 6000 PLN per stove and not for a child. Because at such a pace the child will not live to 18th birthday in this air ...  Why do the cities want to mix in them and be attractive to the residents and do not do anything about the most serious problem and do not want to solve it.  I've put my own tag on defamation of the Silesian air show the whole thing source: IMG_20190122_104951.jpg   +: Shodan56, Osiedlowydiler +12 others  ",2019-01-22 21:07:26,balbezaur,14,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_YkYkKMqPj7k5fItDLE4JF6gB7l2qvrZi,w400.jpg""/>"
18,"               Mircy!  On the occasion of my birthday I decided to do something nice for someone else. So I'm doing #rozdajo!  Up to grab two Dragon anti-smog masks. (I do not link, it would not be that I'm doing an ad) - one piece for #rozowepaski - casual version, size M, model Floral Turquoise -a for #bluebracebars version Sport, size XL, model Winter Moro.  New, unused masks, open only to the photo. The package includes a mask with a filter, an additional filter and instructions. Picrel.  Zielonki and patostreams do not participate. Draws by mirkorandom tomorrow evening, Preferred personal collection in Krakow, or parcel locker, but I'm not sure if I will be able to send this week ...  The only thing I ask in return - do something nice for someone - click on the pajakyka, transfer from 3 dychy to some shelter, buy a homeless roll, or guide grandmothers across the street - in any case, pass the gesture.  #smog #maski show the whole thing [see 1548187397335.jpg]   +: orkenzord, conqueror +1422 others  ",2019-01-22 21:04:30,Lasek1988,1424,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_IvhlIaGbXLDfx11gQ4sOk5oosymn5Qfi,w400.jpg""/>"
19,"               I would run now, because I did not get it earlier, but this smog ... (╯(╰,) #smog #zalesie   ",2019-01-22 20:44:52,Dahald,0,
20,"               You know what scares me? Smog and how few people give fucking at it. The air can almost be cut with a machete, and people walk in the best, their guys lead by their hands on walks, to that paper, and what. On the timetable tables information: ""air condition - below the norm"" XDDD. Fuck, 90% of the time in winter, the quality is below normal, tell me something I do not know. The number of masks in humans today: 2/13109282420483.  #wroclaw #smog #gorzkiezale #gownowpis ​​show the whole   +: baby, war criminal, +13 others  ",2019-01-22 20:28:53,HalinaZGazowni,15,
21,"               #smog #tvp #tvn  Well, dick, I do not know what the smog situation in Poland was like today.  According to TVP, the Malopolska, Podkarpacie and Slaskie worst, the rest good situation. According to TVN and the smog report is all polish bad (there what tvp said that is good, tvn reported that it is bad).  So how is it finally? (͡ ° ʖ̯ ͡ °) show the whole   ",2019-01-22 19:48:16,menstuffpl,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_90ogawIHTpHpLUrRCl9aX3ZTHsHJJn96,w400.jpg""/>"
22,"               And today, on the occasion of smog, I went to Huta :) http://cyfranek.booklikes.com/post/1835034/co-laczy-czytniki-pocketbook-touch-lux-4-i-inkbook-lumos-oraz-smog-w-krakowie-czyli-wycieczka-do-nowej- steelworks  #ebook #pocketbook #krakow #nowahuta #smog #mojezdjecie whole source: PocketBook_TouchLux_4_02.jpg   +: Kaczus2B, lukaszmarynczak +1 other  ",2019-01-22 19:04:56,Cyfranek,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_hACfmHutw7L03jmElS77LjdktUIZTwDd,w400.jpg""/>"
23,"               Chujowo, but stable (͡º ͜ʖ͡º) #wroclaw #smog source: 1548177738974.jpg   +: slavas, Wardrun  ",2019-01-22 18:22:24,dafto,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_5eWyw1UqvIRcJCQrGhub3ZNorfVyzEFy,w400.jpg""/>"
24,"               And elo. On Friday I left my bike in #pracbaza thinking that on Monday I will come back quietly, but not because #smog. I returned Citaro. I'm going to the bike today, I want to unpin it and here the castle is frozen.  #zalesie  well, chu ... and the idea of ​​a shoe   ",2019-01-22 18:16:19,macieklaciek,0,
25,"               A sad, Silesian picture, but unfortunately it looks like that. I wonder if anyone will guess where it is (͡ ~ ͜ʖ ͡ °) #slaskiegdzietojest  #slask #fotografia #mysies #zima #smog source: DSC_7906.jpg   +: Spadlo_biale, Iskaryota +7 others  ",2019-01-22 17:12:40,smutny_ja,9,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_nTSxWiP6OWWWT2mnJ3Oz6MuFoPKAj8tL,w400.jpg""/>"
26,               Where do you check the weather? Which pages give accurate estimates? #high #smog   +: Destruktor91  ,2019-01-22 16:43:23,greengo,1,
27,"               Set yourself a car for less than 8 hours in #opole ehh #smog . . . click to expand the picture. . source: IMG_20190122_152346428_HDR.jpg   +: masieg, ashmedai +9 others  ",2019-01-22 16:19:12,Shajo,11,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_b5Ik9XsqSLUiKJckyLQvTWtIMHv8ASP0,w400.jpg""/>"
28,"               Bangladesh Europe. #smog #polska #holandia #krakow source: dasdad.jpg   +: lubie-cheesenik, spierredolada +9 others  ",2019-01-22 15:38:52,xetrian,11,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_J97KlVLAaupRG9ror7JTJj004RlKoNx9,w400.jpg""/>"
29,"               #heheszki #krakow #mpk #smog [see MPK.png]   +: Obsrana_Zbroja26, paczus13 +103 others  ",2019-01-22 13:59:39,JimHalpert,105,
30,"               Ehh, there's a smog. The gentlemen are sitting and getting heated in the car and the rubbish themselves segregate. For those who slept and those who will not be burnt. A trash can next to the cemetery. source: embed.jpg   +: lubie-cheesecake, przemas17 +1 other  ",2019-01-22 13:50:30,molom,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_MoOuyKM7YXyv8ffpHa5ckbukR1edlJCM,w400.jpg""/>"
31,"               I have downloaded an application that gives the air quality in Poland, drama, people in most parts of the country should wear masks or use air filters and sit at home around the clock. #smog #polska #air #airly . . . click to expand the picture. . source: embed.jpg   +: patrolez, slavas  ",2019-01-22 13:34:07,czternastaczydziesci,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_ZHVXjILOFJO2l19L9O1d2Fg3hcCh4TMt,w400.jpg""/>"
32,"               You have smog, and I do not have it because I do not have any sensor (╭☞σ ͜ʖσ) ╭☞ #smog   +: Marcin_MK, NagiMiecz +5 others  ",2019-01-22 13:33:24,ruum,7,
33,"               Sun in Krakow .... #smog #krakow . . . click to expand the picture. . source: 1548159846935.jpg   +: mac92, from Masonry +107 others  ",2019-01-22 13:24:27,darof04,109,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_8259qcIOfEMf8EnmVv7xTP1hHUYofcNO,w400.jpg""/>"
34,"               Bielsko seen from Szyndzielnia (real photo from yesterday). At the junction of the horizon, with the red roof, my home. Is it nice?  Maybe someone has a photo of how it looks 'normally'.  #bielskobiala #smog and a little #humoric . . . click to expand the picture. . source: IMG-20190121-WA0013.jpg   +: lubie-cheesenik, slavas +7 others  ",2019-01-22 12:45:47,KrolWlosowzNosa,9,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_ZH0de2IIZ9q0JrSIIdzf3VhnGogtGHKL,w400.jpg""/>"
35,"               I wonder if I am deformed for this smell and symptoms #smog or what. I live in #katowice and I am aware of this gowna, which flies around us but I have never felt a stench in my apartment or me, and I spend a lot outside the house whether it's a job or a sport. In addition, I have bronchial asthma (I got drunk myself with the disease) and somehow function normally. I know that the problem is and it is big but how is it that some die when they go out for 2 minutes with garbage: D? #slask #air contamination show the whole   +: lubie-cheesenik, SiemkaKtoPeeL +4 others  ",2019-01-22 12:21:47,Phillippus,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_Zy5H3hpGktL7WIKd00c7FtV3Q1z65PUr,w400.jpg""/>"
36,"               Hejo! Do you know in which pharmacy in Poznan I will buy an anti-smog mask? I have to wait for a few days for an internet order, and I would like to buy one at a time so that I can have a few days. #poznan #smog # poll #zdrowie   +: lubie-cheesecake  ",2019-01-22 12:14:12,ursaminior,1,
37,"               Hey #szczecin, how is your case with smog, I think about the place where you can get out of the wasted south. #smog   +: lubie-cheesecake  ",2019-01-22 12:10:08,dejmiend,1,
38,"               I left the house with the dog and I just could not catch the air normally, scratch my throat and do not do well over time. Even in the apartment it stinks because this crap gets through the closed windows. Usually, I did not pay attention to the chimneys, but now where I do not go, I look up and in total almost every chimney flies black tar smoke and often also yellowish. I'm beginning to regret that I quit smoking, I did not feel this stink before ... I was used to it: c  #smog #slask #jakoscpowietrza #kurwamac #sosnowiec #katowice show whole source: ehh.png   +: lubie-cheesenik, reddevilet +5 others  ",2019-01-22 12:05:48,SiemkaKtoPeeL,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_LeBr2GNUdo6dQPNcjRdAE5uQypuDKJ74,w400.jpg""/>"
39,"               They knew when this climate summit could be done, that there would be no shame. :-) #katowice #smog  Visibility - poor. :-) . . . click to expand the picture. . source: embed.jpg   +: slavas, Natsu9 +1 different  ",2019-01-22 11:24:23,motaboy,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_EAc72KimcLAElPRhn4JV79kQKMfcBpcv,w400.jpg""/>"
40,"               Hi, we are Momask. Manufacturer of anti-fog masks.  We decided to set up an account here to share our offer with you. At #allegro we have displayed our product at a promotional price of PLN 46 for a mask with three interchangeable filters. link  Filters also have a promotional price - 10 pieces 35 PLN Link  #smog #cebuladeals # air contamination #maskaantysmogowa show the whole [See 49268384_2376174199277255_6062209367501963264_o.jpg]   +: stan-tookie-1, MinisteRV +150 others  ",2019-01-22 11:21:50,momaskpl,152,
41,"               It's that smog, eh! A deadly smog kills us! #smog #cytaty   ",2019-01-22 11:14:04,BurakSuchodolski,0,
42,"               K. R.A.K.Ó.W .: THE SHADES OF CZARNOBYLA  #heheszki #krakow #stalker #mpk #smog source: received_363303151169179.jpeg   +: Stalowa_Figura, johnmorra +2033 others  ",2019-01-22 10:59:58,ibeafraidi,2035,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_FxmjGzcaAU4JQuWuyfc6LuKOdaGTMgWx,w400.jpg""/>"
43,"               My city is so beautiful. #smog #bielskwhite source: 1548151054497.jpg   +: Denna, ThoughMass +14 others  ",2019-01-22 10:58:20,Justyna712,16,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_WXcOAQze5e5rJeUv5jPn9JDnEECYM8oh,w400.jpg""/>"
44,"               When #smog is in #krakow, the city council introduces free communication and an electronic snapshot is introduced in #lodz)) ¯_ (ツ) _ / ¯ #lodzkurwa   ",2019-01-22 10:53:00,BrakKontaNaFejsie,0,
45,               #mzyka #smog and nobody will feel it anyway source: youtube.com   +: ArekJarek  ,2019-01-22 10:27:37,CordellWalker,1,"<img class=""block lazy"" src=""https://www.wykop.pl/cdn/c3201142/comment_POI7IDrzl7RCYQsvQbGLdVFdeENbAVmO,w400.jpg""/>"
46,"               #smog people from Bielsko large, rip: < source: embed.jpg   +: CoolCake, Dahald +3 others  ",2019-01-22 10:09:46,powiedz,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_ew7dpauChmjksHrtGfg4wcvizQwvUGZE,w400.jpg""/>"
47,"               Yesterday, while going to work, I watched what kinds of segregated rubbish are put up on the driveways. In houses heated with gas just tencza, cross-section of each type of bag. Some had 8-10 bags. I enter the district of houses where they smoke with coal (and another mule), of course, in everybody there were no paper bags, and in the vast majority of plastic bags.  The services that collect garbage are not able to keep records? I'm not saying here to punish those people right away, but to get more interested. Of course there are families who are trying to live mega ecologically and do not produce a lot of rubbish. But how many of them are they?  Municipalities / cities buy drones, but in the meantime a simple paper card with a sufficient amount of garbage is enough ... #smog #air pollution #pomysl #system #ecology show the whole thing   +: tonamini, Dr.-Livingstone  ",2019-01-22 10:06:05,Faja,2,
48,"               Ehh patola, yesterday a guy was throwing me on the tram that I got a mask. Today to my blue some drunk was throwing ... that it is supposed to be a kibol (͡ ° ʖ̯ ͡ °) I am already ignoring the fact that people look like aliens wearing masks. What about these people ...  #smog #wroclaw   +: ladniecuchne, Artis +184 others  ",2019-01-22 10:04:09,Emulsja,186,
49,               Where to get info (most likely it is available in json) about air quality in Katowice? Such reliable and reliable. #quest #katowice #smog #air pollution   +: mustol108  ,2019-01-22 10:01:12,Ranger,1,
50,"               Today we caught up with the peloton, keep it up, maybe we will be able to get on the podium #krakow #poznan #smog #malopolskie #wielkopolskie  https://www.airvisual.com/ source: d-pt.ppstatic.pl   +: soxn, Jonn +24 others  ",2019-01-22 09:23:08,ixem,26,
51,"               There is no smog, it's just a left-wing fuck, guilty of wungla !!!! #neuropa #bekazprawakow #bekazpisu #smog   +: Mickson, frugo332 +16 others  ",2019-01-22 07:53:32,P.........5,18,
52,"  The Nations Cup in smog!  On this day, China won a certain victory - with as many as eight of its representatives in the thirties scored 160 points. The best city, Wuhan, took the fourth place individually. With a loss of 60 points to Bangladesh, Dhaka won, scoring a set of points. Poland is just behind them. Three of the leading representatives - Kraków (40 points), Poznań (36 points) and Wrocław (20 points) outdistanced, among others, India and Nepal.  The above-mentioned Dhaka city in Bangladesh was individually the best. Podium was completed by Kolkata from India and Kathmandu from Nepal.  #smog #heheszki show the whole source: smog.PNG   +: pesotto, wykopie_staz +1 different  ",2019-01-22 07:50:26,banderas,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_gjNiKu7V0pHZEjYxuBVYeMv06dPOO7Ao,w400.jpg""/>"
53,"               some strange morning mist, but you have nothing to fear because this whole ""smog"" is just a leftist conspiracy source: klamstwa.png   +: Ramamon, Lancernik +4 others  ",2019-01-22 07:45:46,zqwdx,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_2ozjUsOQJpJvcT5XFdhV4jKzAksqatg9,w400.jpg""/>"
54,"  https://pl.wikipedia.org/wiki/Wielki_smog_londy%C5%84ski    Great Smog of London - a smog created in London from December 5 to 9, 1952, created due to weather conditions and emitted gases into the atmosphere, mainly from chimneys of flats, factories and car exhausts.   Smog has led to environmental disaster and the deaths of thousands of Londoners. Most of the victims of the great smog died of lung failure and hypoxia. In addition, a very high concentration of sulfur dioxide in the atmosphere led to severe damage to the respiratory system and permanent damage to the bronchi, which in turn resulted in a deadly harvest among the inhabitants of London [1].    At the beginning of December London was haunted by dense fog and significant cooling of the air. As a result, the inhabitants of London consumed much larger than usual amounts of coal for heating apartments. The inversion of temperature also hampered the spread of polluted air outside the city. The air was contaminated with large amounts of gases and dust from coal combustion. An additional problem was the low quality of the coal used, which resulted in a lot of harmful substances getting into the atmosphere.  Sounds familiar? #smog show the whole   +: boukalikrates, maraswrona  ",2019-01-22 07:30:28,finchharold,2,
55,"               Are you in Silesia that you see anything at all? XDDD #smog is an ecological disaster after all. The color scale is no longer available . . . click to expand the picture. . source: 1548115611047.png   +: Freakz, Ostatni_Sarmata +6 others  ",2019-01-22 01:07:15,vipuser,8,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_bPPjjZELQysjtM6b2D8rsu0jj4FxSwhI,w400.jpg""/>"
56,               #przegryw Smog at 700% of the norm is the perfect moment for losing a walk to shorten life.   +: gtsaplayer  ,2019-01-21 23:36:00,xeerxees,1,
57,"               Mireczki, after going outside for 15 minutes in the throat and lungs we have a clean wongel. Pink tear japa, that you smell smoke with my pyromania and stuff. So that after cancer it is only in the Beskids, the Beskids, because leukemia and melanoma pa pam pam! #truestory #smog #bielskobiala #raccontent #heheszki #sadstory show whole . . . click to expand the picture. . source: Screenshot_20190121-224337.png   +: ZikMiak, daray89 +7 others  ",2019-01-21 23:28:11,Jontek6,9,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_RhJ7NIeDimLUOtRCA8fdawAWfHdeZQQ1,w400.jpg""/>"
58,"               We're breaking records! Already three Polish cities in the topce, we can be proud #smog #smogowastatystyka source: challenge.jpg   +: KAFF, DanielPlainview +8 others  ",2019-01-21 23:04:08,oba-manigger,10,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_TJzJXLob1eYi6G1FlCqdO00xhDrA09LO,wat400.jpg?author=oba-manigger&amp;auth=9ee42464fbdd9832b4913c9a39cbc949""/>"
59,"               CUSTOMER WE WILL FIND THE DPF EGR AND SCR AND THE BRIDGESHER WERE MADE AND THEY WILL SAY THIS SMOG IS NOT SMOG, IT'S NORMAL WITH DIZLA IS NOT THREAT !!!!!!  #cytrynigumiak source: scontent.fktw1-1.fna.fbcdn.net   +: SonyKrokiet, kris666123 +14 others  ",2019-01-21 22:03:41,goferek,16,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_uJapWUR0SDqrOyBqhA6wIIEtPtPMxFvu,w400.jpg""/>"
60,"               But they do not smoke from the chimney anyway, wherever I look everywhere smoke that I can not see the roads. xD #smog   +: Rapepo  ",2019-01-21 21:18:31,marcingp5,1,
61,"               So what when we get to the first place? #smog source: challenge.jpg   +: Napletes, last1234 +6 others  ",2019-01-21 21:09:48,oba-manigger,8,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_7LawV6zcwKqnil46Br8uYN4l8hdiE81P,wat400.jpg?author=oba-manigger&amp;auth=9ee42464fbdd9832b4913c9a39cbc949""/>"
62,"               #rzeszow stable. #smog . . . click to expand the picture. . source: Screenshot_2019-01-21-20-46-07.png   +: contented, koku +18 others  ",2019-01-21 20:48:56,ledoux,20,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_XnVKaXvluST8OaG8vb8PEaWDjWraEUZ8,w400.jpg""/>"
63,               My city is so beautiful xd #smog #check #chlewobsranygown . . . click to expand the picture. . source: 1548098269527.png   +: slavas  ,2019-01-21 20:18:19,mako37,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_MAmhWV1Bxe0QXaoQUtWZ4xkOM4LcymIy,w400.jpg""/>"
64,"               Stable in Krakow  #krakow #smog #air . . . click to expand the picture. . source: 1548097813135.jpg   +: sMart19, slavas +3 others  ",2019-01-21 20:10:15,Terki,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_Icmq8dxO6RxaATBohtzMZisCmaELS1CR,w400.jpg""/>"
65,"               Siema Mireczki and Mirabelle, would not like one of you to build your own smog sensor?  https://www.facebook.com/events/1988096618166228/  #kielce #smog #air   +: oscar_rak, Bzdziuch  ",2019-01-21 20:09:06,pwl89,2,
66,"               #smog How are #debica and #boguchwala? You live? XD source: Screenshot_2019-01-21-19-00-50-946_pl.tajchert.canary.png   +: lubie-cheesecake, carbon16 +4 others  ",2019-01-21 19:01:48,desygnat,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_fA75kDwl1I0hP9NMFMaASbifrj3nREZ4,w400.jpg""/>"
67,               Record breaking today (͡ ° ͜ʖ ͡ °) #smog   ,2019-01-21 18:54:12,P.........5,0,
68,"               21.01.2019r. at 18:00 red indicators. What will happen at 21-24 ??  #powietrze #smog #malopolska #krakow source: powietrza.jpg   +: slavas, vateras131 +1 other  ",2019-01-21 18:13:29,Roll2,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_i5yoa7rCA5iDS9LrIQ81gthIVmooe2rM,w400.jpg""/>"
69,               Not bad #krosno #smog . . . click to expand the picture. . source: 1548089436668.jpg   +: slavas  ,2019-01-21 17:50:47,Solitary_Man,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_GFDetXZqBV1ngdONNnzbhncu5wmd7xUa,w400.jpg""/>"
70,"               Oh, what are the anti-fog masks you use? Is Respro Cinqro only suitable? Because I would rather buy something cheaper, and I saw that masks RZ Mask or Dragon are cheaper. Do you know if they are also suitable?  I need the masks to walk around the city, no sport is an option: D  #kiciochpyta #krakow #warszawa #pytanie #smog show the whole   +: lubie-cheesenik, Xagog +1 other  ",2019-01-21 16:45:54,mutok,3,
71,"               #wroclaw #smog ""UNCERTAIN"" air quality (-‸ლ) source: IMG_20190121_163450.jpg   ",2019-01-21 16:38:05,Owlosiaty-Dzik,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_BCmK5hDCzyYMQB5DHbE28Bh9BBvtQxRU,w400.jpg""/>"
72,"               Attention, attention will be given tomorrow. COMMUNICATION IN #krakow  I am glad that we have such well-functioning authorities  #heheszki #smog source: i.kym-cdn.com   +: lubie-cheesenik, angry_chinchilla +4 others  ",2019-01-21 16:11:20,powaznyczlowiek,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_qBcCs6sqjVHAZdAIOA3OJZwReQ0069hy,w400.jpg""/>"
73,"               I've had #xiaomi air purifer 2s for two days and have a small question. Can you control anything bypassing wifi? That is, turn it on, for example, outside the home by means of a cloud? Somehow I can not see this option.  #smog #air cleaner   +: lubie-cheesecake  ",2019-01-21 16:11:06,enzojabol,1,
74,"               We will die here in the South; D Greetings Krakow, because you have even worse. #smog source: smog.jpg   +: granadiller, lubie-cheesecake +3 others  ",2019-01-21 15:51:21,pandafix,5,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_93JTIYRjnAYQUf6YjKqKAYHH38ty8enn,w400.jpg""/>"
75,"               Well, miracles http://www.wgmedia.eu/kamery/69-kamera-na-zywo-widok-na-gmine-wegierska-gorka  show #smog spoiler     +: Rapepo, r ......  ",2019-01-21 15:25:12,skrecze_z_niemena,2,
