,post,date,user,vote,image
10,"               Did you know that Casey Neistat was in Polsza? XD. He looks at his vlog and, compared to the rest, looks ugly, he can not do a normal shot with a palace of culture because he has such a smog in this #warsaw: D   ",2018-12-29 17:36:21,tomek7912,0,
11,"               Krakow's Wkurwy: smog Squab the Slowacki Theater stop  #Cracow   +: Apollo1993, CoolPa96 +18 others  ",2018-12-28 17:59:28,Majronn,20,
12,"               Hi, below in the #lowcychin tag, I present interesting coupons and promotions for #gearbest stores ---------- For more interesting coupons and promotions, visit the LowcyChin.pl website ----------------------- Click HERE to go to all exclusive coupons. -----------------------  ------------------ Gearbest: ------------------  1.Granate form for ice cubes Price with shipping: $ 2.99 / ~ PLN 11  2. Door and window sensor Xiaomi Aqara Window Door Sensor Price with shipping: $ 7.78 / ~ 29 PLN  3. Sonic speaker Alfawise SG - 949 Price with shipping: $ 9.99 / ~ PLN 38  4. Gamepad controller for iPEGA PG - 9087 Price with shipping: $ 16.99 / ~ 63 PLN  5.2x Solar lamp imitating fire Price with shipping: $ 19.99 / ~ PLN 75  6.Drive helifar H803 Price with shipping: $ 22.66 / ~ PLN 85  7. Sonic file Xiaomi SOOCAS X3 Price with shipping: $ 36.99 / ~ 138 PLN  8. A dictionary of Alfawise G70 Price with shipping: $ 38.31 / ~ 145 PLN  9. Alfawise P1 air cleaner from Poland Price with shipping from Poland: $ 43.99 / ~ PLN 165  10. GBlife PM1232A air cleaner Price with shipping from Poland: $ 44.99 / ~ 168 PLN  11.Robot for cleaning Alfawise S60 windows Price with shipping from Poland: $ 119.99 / ~ 449 PLN  12. Vaccum cleaner Alfawise V8S from Poland Price with shipping from Poland: $ 135.99 / ~ 511 PLN  13.Xiaomi Mi A2 Lite 4 / 64GB Price with Priority Line shipment: $ 165.82 / ~ 621 PLN  14.Xiaomi Mi A2 Lite 4 / 64GB Light sky blue Price with Priority Line shipment: $ 165.82 / ~ 621 PLN  15.Xiaomi Mi A2 Gold 4 / 64GB Price with Priority Line shipment: $ 183.99 / ~ 689 PLN  16.Xiaomi Mi 8 Lite 4 / 64GB Price with Priority Line shipment: $ 214.19 / ~ 802 PLN  17. Anet E12 3D Printer Price with shipping from Poland: $ 239.99 / ~ PLN 898  18.Xiaomi Mi 8 Lite 6 / 128GB Black Price with Priority Line shipment: $ 257.19 / ~ 963 PLN  19.HUAWEI Honor 10 Blue Price with Priority Line shipment: $ 338.11 / ~ 1265 PLN  20. Scooter Xiaomi M365 Europe Version Price with Priority Line shipment: $ 369.99 / ~ PLN 1389  21.Xiaomi Mi 8 WHITE 6 / 128GB Price with Priority Line shipment: $ 378.09 / ~ PLN 1415  22.Ninebot Segway ES2 from Poland Price with shipping from Poland: $ 390.39 / ~ PLN 1468  23.OnePlus 6 - 6 / 64GB Price with Priority Line shipment: $ 399.99 / ~ PLN 1497  24. Electric Ninebot One Z10 Price with Priority Line shipment: $ 1459.99 / ~ PLN 5466  ----------------------------------  #lowcychin <==== Follow If you want to be called, write in a comment ==> @lowcychin wants to be called I also invite you to the telegram channel -------> https://t.me/LowcyChinpl  -----------------------------------  #monocycle #ninebot # m365 # es2 #oneplus # oneplus6 #telephones #xiaomi # mi8 #huawei # druk3d # mia2 #smog #superheath #drons #odkurzacz  show spoiler Direct links:   https://www.gearbest.com/other-kitchen-accessories/pp_1685442.html?wid=1433363   https://www.gearbest.com/access-control/pp_626703.html?wid=1433363   https://www.gearbest.com/tooth-care/pp_1337573.html   https://www.gearbest.com/game-controllers/pp_1853922.html?wid=1433363   https://www.gearbest.com/led-solar-lights/pp_009390520804.html?wid=1433363   https://www.gearbest.com/r-c-helicopters/pp_009569349205.html?wid=1433363   https://www.gearbest.com/tooth-care/pp_009364641913.html?wid=1433363   https://www.gearbest.com/car-dvr/pp_009287746255.html?wid=1433363   https://www.gearbest.com/air-purifier/pp_009648919383.html?wid=1101231   https://www.gearbest.com/air-purifier/pp_009326550014.html?wid=1101231   https://www.gearbest.com/robot-vacuum/pp_616196.html?wid=91   https://www.gearbest.com/robot-vacuum/pp_009793738613.html?wid=1101231   https://www.gearbest.com/cell-phones/pp_009482920417.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009458286321.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009644663565.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009618416255.html?wid=1349303   https://www.gearbest.com/printers/pp_1072330.html?wid=1101231   https://www.gearbest.com/cell-phones/pp_009198308846.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009202601000.html?wid=1349303   https://www.gearbest.com/scooters-and-wheels/pp_974669.html?wid=1349303   https://www.gearbest.com/cell-phones/pp_009493755556.html?wid=1349303   https://www.gearbest.com/kick-scooter/pp_009853851321.html?wid=1101231   https://www.gearbest.com/cell-phones/pp_009356291241.html?wid=1349303   https://www.gearbest.com/scooters-wheels/pp_009143023119.html?wid=1433363  show the whole . . . click to expand the picture. . . source: Vouchers and promotions of LowcyChin.pl of 28/12/2018.png   ",2018-12-28 17:36:07,LowcyChin,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_lRQ0Um7xzTooq6d4XfgPzaHzBuyjQSmP,w400.jpg""/>"
13,"  https://rzeszow-news.pl/chmura-dymu-na-ulicy-wita-stwosza-mieszkancy-robi-sie-niedobrze/  #rzeszow #dziadypalo #smog   +: Rapepo, dami423 +1 different  ",2018-12-28 16:02:02,przecier666,3,
14,               12 miners died. National mourning. Smog kills 50 people daily. Their life is less worth it because they are not miners? Is it about the spectacular nature of death? It is known without explosions does not count. #niepopularnaopinia   +: Qbanek1  ,2018-12-28 11:03:44,zielu14,1,
15,               #night how do you collect air into jars (͡ ° ͜ʖ ͡ °)?  #smog #air . . . click to expand the picture. . source: Screenshot_2018-12-28-08-32-12-722_com.android.chrome.png   +: Re_mi  ,2018-12-28 08:33:45,ElGovanni,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_3aUlxemqSlGP5aevMH32aA8uWOUHwKx3,w400.jpg""/>"
16,"               I would like to live in some warm country next to the sea, eg Italy. In the morning I would eat a juicy, fresh watermelon with melon, for a pizza dinner, and for dinner a pasta with sauce. On free days I would lie on the beach and watch gilts on vacation and melange with them.  And so I live in Poland, when I leave home, I feel like smog strangles ... horny.  #gownowpis ​​#marzenia #polska #smog # zasiew show the whole   +: cowboysfromhell, Basementparty +7 others  ",2018-12-28 02:49:12,N............a,9,
17,"               #Wields Winter in the season, graying outside the window, smog scratches in the throat, all of them are trying to pay off the most expensive mortgages you can get in Europe. I'm going to the bus stop and I hear a whore at Morawiecki nearby.  #melancholia did people feel like communists? Is this the terror of social beneficiaries? I am getting worse and worse at the conversation that awaits me for an additional job. I enter a modest office, the guest keeps getting back to the start I do not have time so I will be brief, we do not have paid offers or internships, but you can write for free ... Two articles a week, sometimes we send you somewhere, some report, it's possible that after 2-3 months something will be released and when we think that it will be useful to someone like you very likely that we will take you. I tell my guest with anger, you wasted my afternoon and favored 4.40 zlotys for tickets that I could invest in a packet of lays or invest 4 zlotys and buy a kebson. I answer politely that, internships, internships, and I have already worked in the profession, and the offer posted on the internet said something completely different. Guest takes me on a typical lamera. I do not have time you are interested as so please send something to this address. Looking at the business card and guest. #feelsgoodman I say, push her out, then get up and take the coat from the coat rack and go out.  Around I see gray sad people desperate screaming in the middle longer towards ** and I can not, queuing queues in a room 2m at 2m, to make coffee which of course they have to buy themselves. I leave the building and feel nothing. I know that it holds me in this country only master's defense. And for ginseng tutoring, there is enough for this vifon flooding or eating dinner at Tesco after 21:00 where there is 50% cheaper promotion. #depression I'm telling myself that one day it must be better. ¯ \ _ (ツ) _ / ¯ show the whole   +: face, Dirty_Digger +4 others  ",2018-12-28 02:26:39,Wololol,6,
18,"               #heels #smog #humoric source: 48422803_2576497869034138_7619832029659529216_n.jpg   +: StopMakingSense, Assex +13 more  ",2018-12-27 21:16:35,Ruzanka,15,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_fHHqFUcW8MebKzc5jGMYiq1pgUo9qAjs,w400.jpg""/>"
19,"               Poznań, Plac Wolności. It was here a hundred years ago that the Greater Poland Uprising began. If it were not for the fumes of thick smog *, it would be seen Hotel Bazar, from which Ignacy Paderewski spoke to the inhabitants of Poznań.  * Dense #smog is today smoke from thousands of flares, which #kibice (and not only) honored the memory of the heroes of the uprising. Those older state from the photo were probably late with their firing. When most of the flares went out, the thick slurry was partially dispelled, and the hymn's sounds were heard from the stage, they were still standing with red flares in their hands. In the background a Ferris wheel began to emerge, standing in the square since mid-November.  #poznan #polska #myjezdjecie #patriotyzm show the whole source: 2604f.jpg   +: frostbindings, rubikoon +6 others  ",2018-12-27 18:32:49,ff_91,8,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_7qtJfYGZMJkrAtx2GZP9ZpLKVCUK5BS2,w400.jpg""/>"
20,"               #smog source: scontent-waw1-1.xx.fbcdn.net   +: WladimirPutin, ijones +4 others  ",2018-12-27 13:06:16,Castellano,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_5ObPT6MX0ZpOcphP3P7YfblmpkwTOrT4,w400.jpg""/>"
21,"               403573,08 - 14.02 = 403559.06  Well, after Christmas ... Burning time to continue. Well, in total, you can also celebrate, because pekło 3000 km in 2018 ᕙ (⇀‸↼ "") ᕗ  show the #chwalesie spoiler   I did not want a bit today, especially as the alarm clock woke me up at 4:21 - I said that there are no such numbers with me and I set it at 5:11 to make something more light. As now I look at what is outside the window, I had luxurious conditions - 2 ° C above zero, strong wind, no rain ... If it was like now, no devil I would not poke my nose out of the house (͡º ͜ʖ͡º)  I only started the fifteen minutes before the sixth - of course, still black and the headlamp was necessary, but I risked the lack of a mask because the smog was already on the verge of normal, with a downward trend.  Just like yesterday, the start was rather weak - something pained me there, generally on the first 2 km pace of 5: 15 / km and only then somehow as soon as I started to accelerate. Somehow, even managed to keep the pace decent enough to land under the home with an average of 5:02 min / km. Somehow I am not in a hurry ¯ \ _ (ツ) _ / ¯  Have a nice pre-season!  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: Akuku69, pestis +16 others  ",2018-12-27 11:58:29,enron,18,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_I8aLWaJpbMWU4tKae5OibLeUHpHCs9jD,w400.jpg""/>"
22,"               Because I have a family in #krakow and lives there and works, among others my mother, that's how it came to me.  #grafika and #tworkwlasna (collage of photos from the net) #smog source: kraków smog 02.jpg   +: krzysiek944, Padoks +57 others  ",2018-12-27 10:56:11,Mordeusz,59,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_GzcsTZ79G7iIi4pccKqM62SAtbwfaoK3,w400.jpg""/>"
23,"               #krakow #smog #smogkrakowski #krakowpopierdolilo #airly  What's up with these measurements? All day such a difference between WIOŚ stations and Airly sensors:  Nowa Huta: . . . click to expand the picture. . source: IMG_20181226_234513.jpg   +: dami423, Solon111 +2 others  ",2018-12-26 23:52:23,staryhaliny,4,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_sXtBescvCHAsr3EwE5bdBF1885kr5Dj9,w400.jpg""/>"
24,"               Wojtek Przemusik. As if he got the so-called ""pula deejay"" (pzdro600) it would still be telepał, padaka or electrically burned, and even that did not feel anything because fish do not have a moral backbone. It's so good that if some of these carp will be lonely because Christmas tables are already full, their cat will return them to their environment because the carp season is only once a year and they are not tasty, and animals, mammals are ground, processed and thrown away like a rotten set of vegetables in a delicately concave 800g can, which is no longer suitable for importation or to be used, for example, for starving in Yemen because it is fucked up a slightly fucked etiquette because people are usually carnivores. You have to make room for the already forgotten farming for the projection of new mammalian children because they breed faster than carp in their natural surroundings. Karpia generally I like to chuuuj how is well fried and meat is usually I'm chicken chick because I eat eggs and generally the cock always smoked in front of me roller skates and did not give a hug and feed, not like my goldfish who could do somersaults like Kinderbienie at the pool in a large, meteor-sized sleeve resembling a ball to the leg in the shape of the head of ancient Cyklop giants. Steaks and other fried meat must be at least brown like good chocolate or just a pile, although the sole is a big +. Then I do not chew on it like a young siup pack of rubber bands balls on an arrow, which in addition makes you feel like you've just killed a unicorn. I sign the majority of petitions, I try to help stray animals, but it's a big drop in a large puddle, a type of yogi that persuades children to set oneself on fire and masturbate to the webcam and then threatens them with death and bangs a statue in the form of a Buddha who in his his eyes are fat fatty, because he put on carp too hard oil, but after a while he reminds himself that it is slant-eyed or samurai or hacker from some other hemisphere and there are no carp because the fish only dives in our sewage and he supports the bank prawns (apropo, which I especially like in the sauce of chef with garlic baguette + cold Karlovacko). When I earn from fleeing the fleet of course, without cheating anyone, I will live far away in the mountains + - 100km to the first hypermarket to buy a carp squeezed like sardines in the forest, but sincerely I will do my wort, your ranch, your garden and then I will almost Sure about 97% sure that I know what I eat first and foremost, following the voice of the dignity of life as a primitive man who did not kill just to kill just to live. These 3% is of course smog, which makes planes dropping fuel like FBI bombs on Hiroshima and fucking psychopaths, people whose ambitions have obscured the sense of the Earth's functioning, who have their deadly loads of devils and devoted pseudo-botans who blow up the center without blinking people, animals and garbage that fall out of their hands because it was not next to just playing and garlic on a napkin from the corner of the mouth, which was found there hotdogu from the whale's ass can them impeccably nicely putting the hell hines from the H & M, which with the rest they made small children standing under the comms' whip. Let's not be afraid of life, everything still to survive I'l #pasta show the whole   +: W33D420  ",2018-12-26 17:51:33,Kolor997,1,
25,"               Super Christmas Chick ... (╯ ° □ °) ╯( ┻━┻  I have a c.o installation failure. The boiler started to leak and currently I can not smoke in the oven. I made a preliminary assessment, the leak is on the weld at the exhaust outlet. It's dripping quite hard. I read a little on the net and the situation can be saved by sealants. Anyone can speak on the subject? http://chemiainstalacyjna.pl/18-uszczelnianie  I am thinking of applying this specifically http://chemiainstalacyjna.pl/uszczelnianie/45-repa-r-500-p%C5%82ynny-uszczelniacz.html The leak may not be as big as for this product, that is from 200l / day, but the 5l bucket every 2h I have to pour out.  I do not know if it makes sense to have fun or look around for another oven because it's probably the only two possibilities: /  #piec #centralnyogrzewanie #heating #dom #majsterkowanie #smog #kotlownia show the whole source: picclickimg.com   ",2018-12-26 15:48:44,tomy86,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_2fX2m25TCAOuEoHbSZNW4hoOgzuOPoGu,w400.jpg""/>"
26,"               average age in Poland guys ~ 74 -10 (on average, that's how many lonely people live) -3 (smog https://smoglab.pl/smog-skraca-zycie-srednio-o-ponad-lata/) - 5 (chujowy życia życia) = ~ 56 I am ideally at the halfway point of my life #even #thatness #tfwnogf show the whole thing   +: bdag476, slow +2 others  ",2018-12-26 13:23:41,mati1990,4,
27,"  Aidan Baker - Machina (Live) #mzykawolfika #mzyka #mirkoelektronika #mzykaelektroniczna #ambient #noise #aidanbaker #nadja  # 365daymusicchallenge Day 360: A song that makes you think of a windy day:  I remember when in the evening I stood at the bridge in Krakow's Zabłocie with a can of beer in hand, waiting for a friend (which would go to the band's rehearsal), I just had Aidan on headphones. The wind was quite strong, the air was clean, because all the smog disappeared, it was possible to live, it was fun ... some #feels and #wspomnienia show whole source: youtube.com   +: KurtGodel  ",2018-12-26 13:17:11,tomwolf,1,"<img class=""block lazy"" src=""https://www.wykop.pl/cdn/c3201142/comment_aBYmwzMPZwER0aDGk3QhefLWZGzamLhP,w400.jpg""/>"
28,               Which cleaner should I choose for about 1500zł? 52m2 flat The largest room is about 20m2 I would prefer a version with an air humidifier  #checker #pair cleaner #smog   ,2018-12-26 10:51:59,potakowy,0,
