,post,date,user,vote,image
15,"               384659.05 - 14.02 = 384645.03  Yesterday I was not able to go jogging - my wife was so worried that she would not make up on time, that I took pity on her and I stayed ... And so she barely made up. Ech women ¯ \ _ (ツ) _ / ¯  I wanted to get up earlier today and fly a bit more to compensate for the lost kilometers - and the alarm clock did vibrate at 4:19, but I did not get up until 11 minutes later. Somehow I got together and at 4:50 I started. I expected temperatures close to zero, meanwhile it was up to 3 ° C, so I jumped into short clothes. Smog was on the verge of 100% of normal, but at home you could hear the wind blowing through the window - I thought it should be tolerable and the mask stayed at home. I put on the hat because it's more comfortable to wear a headband, but I left my gloves ... It was a mistake. The wind turned out to be stronger than I expected and my hands were so cold that at the end of the run I could barely feel my fingers (͡ ° ʖ̯ ͡ °)  I tried to run harder somehow, but - at least at the beginning - it went rather mediocre ... It was only then that I was speeding up and I started to make up valuable seconds. At the end it was possible to close the whole race with an average of 4:50 min / km - as for a morning getaway quite decently.  Have a nice medium! (͡ ° ͜ʖ ͡ °)  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: tomekkp, xud9 +11 others  ",2019-04-03 11:10:01,enron,13,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_RKi39t6gl2VaEegen8zR7pdptcd7mEuu,w400.jpg""/>"
16,"               I am just in a big traffic jam because of the farmers' strike. There are 3 lanes in one direction on Kopińska St. in Warsaw. One of them is buspas. It is crossed by 1 bus every 5 minutes, 1 taxi per minute, and 2 other cars (on the crooked lines) per minute. And I passed maybe 1.5 km for 20 minutes and I'm making smog. I will not say it, it's a little big *** #party experience   +: Edmund37  ",2019-04-03 10:28:38,MartinoBlankuleto,1,
17,"               A brief summary of my previous job interviews.  I'll start with the fact that I'm still working on #freelance but after 7 years I wanted more stability even at the expense of less cash;) For this purpose, I gave an ad where he would go and waited for calls: D  First phone call. A nice man offers me a job - banners for PLN 8 for social media. He said that I had a cool portfolio :) After deducting all the costs associated with DG after a month, I would have to pay PLN 500.  A company that sells supplements - that is, stretching old grandmothers and Grażyna to miracle cures for smog and varicose veins. The money above the average (""we do not feel such money on us"") but the scope of duties from kindergarten to opole. With the owner of the company at the end we talked about lego technics and in total they saw me so much. Young wolves. Now they are changing the office to bigger ones.  Bank - for this conversation I got ready like a rat to open a channel. I was recruited by a nice lady recruiter and a boy from the graphic department. Because I knew the answers to all the questions because my sister works in Medicover HR went smoothly. The money is pretty cool but strong-corpo. And you have to work 30 minutes longer. I was only surprised if I would like to work for them. Very nice conversation - but they did not have coffee :(  Small Agency - nice agency, cool projects but unfortunately the owner ""sincerely regrets"" because I'm out of reach. Rather, I would not like to earn as much as Junior Graphic Designer in 2011. I do not just need work for my money.  Small Agency 2 - it was really strange and long conversation, the owner boasted that the company is so family that sometimes I work until 4 am. I was supposed to do a test task, but I got a different offer and gave it myself. They have a mutisport - it's an important and family atmosphere. She even asked if I could get involved. And I got a compliment that I look young: D  Small Agency 3 - here the hajże disagree even though customers have quite cool. Honestly, if I would apply to Lidl, I would like the bonuses similarly.  Big Agency - oh, there were stairs here. Professional questions, not any talk about weather and littering. I must admit that I even sweated a little but maybe because I drank a lot of coffee before and during the meeting. They have to think and let me know. Money market.  #grafika #polska show the whole source: i.kym-cdn.com   +: annamariawesolowska, MattCore +83 others  ",2019-04-02 22:59:28,goorskypl,85,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_2tlkDHzD36xKHKvbE2qQVvxXSVlTaSnc,w400.jpg""/>"
18,"  https://www.rmf24.pl/fakty/swiat/news-najszybciej-topniejacy-lodowiec-na-grenlandii-zaczal-nagle-p,nId,2912726  I told you so! I told you so! And he hides from the ecozivirs further - Euro 6 in cars, ban zones for fumes, electrics, hybrids.  You have to stop smoking shit in furnaces because smog is a problem ONLY during the heating period.  I'm fucking. What a pitcher. And how many people have gulped and allowed to kill #motorization  #cargo #globalneocieplenie #gownowpis ​​#boldupy #polityka #gorzkiezale show whole   ",2019-04-02 08:55:48,BanditDriver,0,
19,"               Is it possible to smoke trash in front of the church?  #smog #ecology #poland source: wykop.pl   +: wypokk, Freakz +1 other  ",2019-04-01 18:12:17,PajonkPafnucy,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_lBgdtjGuBCpTwnwLdC6diCvzKR1NaBf5,w400.jpg""/>"
20,"               Burning plastic by the Roman Catholic Church which serves under a foreign state. #smog #bekazpisu #ecologia source: 55869051_2545076775502396_7490102521009012736_o.jpg   +: bartek1354, Antlioon +68 others  ",2019-04-01 10:55:25,kommie,70,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_J7bpeDWCHYeh7bc2UoJkJRHaUOEhUptI,w400.jpg""/>"
21,"               A BEAUTIFUL SPRING WEATHER, HEAT, AND THIS IS SMOG. #match   +: Piekny_Maryjan, Dielektryk  ",2019-03-31 19:11:09,nicari,2,
22,"               but smog in Krakow.  #match   +: FX_Zus, Sumlinskiewicz +1 other  ",2019-03-31 19:10:49,sulima-,3,
23,  smog? #match   ,2019-03-31 19:08:18,Kalafijor,0,
24,"               Smog in the air, cyanobacteria in the sea, rivers so dirty that they will soon infect baths, in lakes less and less fish through algae ... Poland!   ",2019-03-31 12:43:14,AlfredoDiStefano,0,
25,"               Seriously? At the outside, 15 degrees and the poles still burn tires? #smog #warszawa   +: xud9, NashBridges +2 others  ",2019-03-30 23:58:24,kinlej,4,
26,"               #Warsaw  Note smog. Even smell can be felt. I checked and it is indeed.   +: ptaszyszko, diver_z_jaworzna +1 other  ",2019-03-30 21:59:26,mk321,3,
27,"               385646,54 - 15,3 = 385631,23  Today, modestly and slowly.  I had a bit more ambitious plans, but for various reasons I had to change them and logistics did not allow me to run longer in the morning ... Spring still can not show something - it was supposed to be above zero, and again it was -1 ° C, and smog again, well over 200% of normal. I gathered, put on long clothes and a mask, and at 6:30 I went to tango. I was weak - I did not want to live and walked to a slightly faster, but still relaxing, jog. All in all, I took care only to do these 15 km - it should be done at a minimum (͡ ° ͜ʖ ͡ °)  So sometimes speeding up, sometimes slowing down I got home with an average of 5:13 min / km. Everyone should rest, especially that before me the whole day of painting (͡º ͜ʖ͡º) Tomorrow I will try to start at 6:00 - this time it will be before dawn. Hello, normal time! (ʘ‿ʘ)  Nice Saturday!  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: Algo, pestis +11 others  ",2019-03-30 10:51:28,enron,13,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_tkroGNFOEvIH830iiGYmSVvfjrFCcR8F,w400.jpg""/>"
28,               Is there anything you can see from the Kosciuszko mound or smog motzno? #krakow #kopieckosciuszki #kiciochpyta   ,2019-03-30 09:03:06,Heisenburger,0,
29,  Smog or dusting?  #Wroclaw   ,2019-03-30 08:49:42,Reepo,0,
30,"               I open the window and take 3 breaths, I feel like I am eating a packet of pipes. Stink from the chimneys that I fuck, I go to the kitchen take 3 inhales (#epapieros hera) #makes #smog #cotusiepierdala #notchangeable   +: to_jest_chyba_kurcze_zart, Freakz +4 others  ",2019-03-30 04:25:29,Fretja,6,
31,               Currently #krakow is fog or this legendary smog ??   +: Khraell  ,2019-03-29 09:10:41,klops89,1,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_xhkwTaadjwPzqVW3lkZEULgjLmVYqtKm,w400.jpg""/>"
32,"               385,859.43 - 10.10 = 385,849.33  I was surprised again. I already wore short clothes, when I turned on Airly to check the air ... and here the surprise: -1 ° C, and smog, which I was convinced that was dispersed by yesterday's winds - well over 200% of the norm. Well - you had to change your clothes and that's why I only showed up at 5:10. It was quite bright, but the fog was thick enough to make me think it would be safer to put on a lead. It was a good move - then the fog thickened so much that cars driving on the lights could be seen only less than 100 m. Extremely glowing tshirt and reflective belt was obvious (͡ ° ͜ʖ ͡ °)  There was not enough time, so I got on as much as I could - and it brought quite nice results. Already at the first kilometer the result was good, and then it only went better. In the end I managed to close this nozzle on average 4:56 min / km (͡º ͜ʖ͡º)  Have a nice Friday, Friday, fifth! (ʘ‿ʘ)  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: Kinja, acetanilide +15 others  ",2019-03-29 07:52:02,enron,17,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_6HiqTcOI6GmMTYNeZADTVYmy9Un5sWqb,w400.jpg""/>"
33,"               But fog / smog: o #Cracow source: 20190329_062403.jpg   +: stukacy, macqooo +5 others  ",2019-03-29 06:31:23,SoulShredder,7,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_KNwOl5109IyhbO0DlUb2cOmpTBzTwzIT,w400.jpg""/>"
34,"               for me as Warsiawiak is both a duty and a pleasure: 1. making fun of Krakow as a whole 2. ridiculing that Krakow was taken away from the capital 3. point out that hundreds of years ago Mongolian hordes of Dzyngis Czana overflowed hundreds of years ago, what can be seen today, for example in a new steelworks and kurdwanów (especially from a small one) 4. pouring from tribal struggles Wisła-Cracovia when there is a full culture in our capital city 5. point out to Krakow that it is a basin over which all smog and acid rain from the Katowice agglomeration collects 6. I will not even start fucking ""on the field"" 7. making fun of the fact that Krakow gave birth to Grzegorz Turnau 8. and that Kaczyński lies with them #bekazkrakowa show the whole   +: mt5114, lit +1 other  ",2019-03-28 23:33:10,sublingual,3,
35,"               As for the whore, these sensors are weak or what's going on #smog . . . click to expand the picture. . source: Screenshot_2019-03-28-21-09-27-469_en.tajchert.canary.png   +: spierredolada, slavas +1 other  ",2019-03-28 21:10:51,svetrey,3,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_2sEBtaEXx42XbDDX9KZ30YB9va1NDALH,w400.jpg""/>"
36,"               ""regulations regarding Krakow will NOT solve the problem of smog in the city"" episode 166542234567 #krakow #smog #patologiazewsi source: SmartSelect_20190328-194714_Airly.jpg   +: bugg, slavas +11 others  ",2019-03-28 19:48:37,powaznyczlowiek,13,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_7P3eZTafJbzsLdMWMk8XSzH65GctpNAh,w400.jpg""/>"
37,"               385901,64 - 10.18 = 388,589.46  Brr. What a crap ... It's supposed to + 3 ° C, so I put on some short clothes. The wind was not supposed to be, but meanwhile it was so nasty wmordewindem that sometimes everything was abolished. As I left, it was a micro-cabbage soup, but when I moved it was spilled for good. And for this smog like hell ... Normally a dream. When I came back home, I had so cold hands that it took me a long time to unfasten the zipper and pull the remote to the garage ... Slow pace, my heart beat. It happens.  If I knew it would be so bad, I would probably stay at home ¯ \ _ (ツ) _ / ¯  Fortunately, the forecasts for tomorrow are already better - may they come true (͡º ͜ʖ͡º)  Nice!  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: acetanilide, pestis +10 others  ",2019-03-28 18:25:23,enron,12,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_rsymN68JHLm0X4J5s7rP5jBaNbw1kGiM,w400.jpg""/>"
38,"               This feeling when you go outside to get oxygen, and you get smog straight in the face (ಠ_ಠ) #smog #gownowpis   +: slavas, MicroPepe +1 different  ",2019-03-28 17:05:49,szynszyla2018,3,
39,"               hehe smog improves health (͡ ° ͜ʖ ͡ °) #mapporn #maps #health source: scontent-waw1-1.xx.fbcdn.net   +: why you are losing, lawyerman +4 others  ",2019-03-28 10:34:42,Edward_Kenway,6,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_GHCh3zGGpEHkr39NNOY3cVa25c7RVAar,w400.jpg""/>"
40,"               for me as Warsiawiak is both a duty and a pleasure: 1. making fun of Krakow as a whole 2. ridiculing that Krakow was taken away from the capital 3. point out that hundreds of years ago Mongolian hordes Dzyngis Czana overflowed in Krakow, what can be seen today 4. pouring from tribal struggles Wisła-Cracovia when there is a full culture in our capital city 5. point out to Krakow that it is a basin over which all smog and acid rain from the Katowice agglomeration collects 6. I will not even start fucking ""on the field"" 7. making fun of the fact that Krakow gave birth to Grzegorz Turnau 8. and that Kaczyński lies with them show the whole   +: dr_papieros, Ulany_Utopiec  ",2019-03-28 05:50:07,sublingual,2,
41,"               386054,02 - 14.31 = 386039,71  Recently I have too many adventures with sleep. Something woke me up at 1 am, and then I woke up at 4 am ... I decided that I would not run so early - I tried to take a nap, but after 20 minutes I woke up again ... Apparently it was supposed to be so already ¯ \ _ (ツ) _ / ¯  The forecasts were 100% full - on the thermometer -1 ° C, the wind was tiny but the smog was still blown out, so the long clothes and the mask stay at home. At 4:45 I turned up in front of the house ... and came back to leave the headlines - it was so bright that it did not make any sense at all.  I got so much energy from this brightness that I rushed to the standard route of 14 km with full power - and after the first kilometer I was sure that it was good. Then it was just better - it was very pleasant (good, I'm exaggerating a little bit with this momentum xD) and I made more seconds of the reserve (͡º ͜ʖ͡º)  It managed to finish elegantly point 6 in the morning, with an average of 4:54 min / km - maybe it does not knock down, but it was well earned! ᕙ (⇀‸↼ ') ᕗ  Okay, it's time to make a spin because I'm running tomorrow (͡º ͜ʖ͡º)  Nice! (͡ ‿ ͡)  show spoiler #track #guidingtop #guiding #enronczlapie #ruszkrakow  show the whole source: embed.jpg   +: Akuku69, Oplyy +12 others  ",2019-03-27 22:30:19,enron,14,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_fCezT0XWhpYKCflpDWTHSAbSxr4899x3,w400.jpg""/>"
42,"               By raising ticket prices, you definitely want to fight smog. Bravo #krakow. It will be better for me to ride #uber. Tfu spits at it. #mpk   +: Jeleniowa, guowa +5 others  ",2019-03-27 19:28:23,Astolus,7,
43,"               @GearBest_Polska: == ➡️ Alfawise P1 Mini Air Cleaner for only 142.05 PLN from the Polish warehouse⬅️ == Are you looking for a cheap way to clean the air in your home? The mini purifier is an ideal alternative for small rooms, we can put it anywhere. What distinguishes him? High performance and low price! It's already on a great promotion! With a coupon: PLP1SALE already for 142.05 PLN - free delivery from the warehouse in PL, the price without a coupon is 165.09 PLN  #gearbest #chinskiecuda #promocja #alfawise #oczyszczpowytrza #smog show whole   ",2019-03-27 10:35:37,GearBest_Polska,0,
44,"  Shipping from Poland.  [Fast-08] Alfawise P1 HEPA Mini Desktop Air Purifier - Gearbest Price: 36.99 $ (140.57 PLN) Lowest price: 42.99 $ on 29-12-2018 Coupon: PLP1SALE  #chinskacebulakupony - Watch the tag if you want to see more of such promotions. ---------------  Group on Facebook - https://www.facebook.com/groups/686487848228753 Channel on Telegram - https://t.me/ChinskaCebula Facebook page - https://www.facebook.com/ChinskaCebula  Do you want to be called to a specific product? Write in the comment for example ""@ polu7 I want to be called to xiaomi mi8""  #chinskacebulapolska #chinskacebulaeuropa  * The lowest price in Gearbest store recorded by me since June 2017.  show spoiler https://www.gearbest.com/air-purifier/pp_009648919383.html?wid=1101231 #smog #cheszczaczpowietrza  show the whole source: gloimg.gbtcdn.com   ",2019-03-27 09:44:16,polu7,0,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_43Z2m970XBqS8Be3XnCFqB6ysZf5txv9,w400.jpg""/>"
45,"               Which country, such OK Google (͡ ° ͜ʖ ͡ °) #humorous #heaters #google #smog source: thunderbird_2019-03-26_17-37-35.png   +: spierredolada, Campell  ",2019-03-26 17:39:03,bartiprog,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_9RjTf8QCf7AvVIWwwSZ51gPGRovDbuiA,w400.jpg""/>"
46,"               #anonimowemirkowyznania Mirki, I finished LO and I never worked in Poland, just after school in 2012 I went to the Netherlands to work. During these seven years I have never been unemployed for more than 3 days. She works with a girl for average money, about 1800 euros a month. I am renting it today, but after calculating it would be a loan for me. I also have a plot in Poland, and 40k eur put up and now I do not know whether to stay in the Netherlands these 4 years to build a house in Poland and go and go to ordinary work because I will not have credit so costs will be low between the times to do some courses? In the Netherlands, I could buy an old house with a small garden and pay it off in 13 years. And now I do not know what to do on the one hand here I do not hold anything I do not have a family, but I live lightly and in Poland it's nice because you are at home but non-stop on the excavation with socialism distribution, smog it and there it's XD  Pros in Poland A nice house on a normal plot of land 10a I also have a car so I would not have to buy I'm at home. Help the family in raising a child  Minuses:  It's expensive smog NFZ medical care  You can always go for season season, because I have contacts and know where and how.  Pros in the Netherlands  Better earnings Small unemployment Co-financing for the loan Everything is here, you're going to the office, you do not know the mail or the doctor, I do not know how to explain it, it's like it should be xD  Minuses: Ciapole Old house from 1980, garden 120metrow No family An eternally foreign Pole in the eyes of a Dutchman No help when I have children  Maybe someone came to Poland from abroad and will speak?  Click here to reply in this thread anonymously Click here to send an anonymous private message to OP Post added using the script AnonymousMirkoWyznania (https://mirkowyznania.eu) Accepted: sokytsinolop Appendix supported by: Trips for high school graduates show the whole   ",2019-03-26 15:26:48,AnonimoweMirkoWyznania,0,
47,"               #sprzedamopla #smog #gownowpis  If anyone has nothing to smoke in the oven, I recommend Allegrowicz source: zsdg.png   +: ICame, spider19447  ",2019-03-26 08:42:59,efceka,2,"<img class=""block lazy"" data-original=""https://www.wykop.pl/cdn/c3201142/comment_YrVcDPhD6DL5njT2qRIeunHg0HhMTbep,w400.jpg""/>"
48,"               ATTENTION ATTENTION  I SEE ALARM FOR CONTACTS FOR THE WINDOW  According to my dad, he is struck by lightning, according to his mother's volcano, according to his brother, with a sardine, and according to me volatile compounds of sulfur and dragon halitosis straight from the chimney are neighbors.  #czwiekskurwiel #smog   +: spierredolada, lubie-cheesecake  ",2019-03-26 00:36:46,druid1,2,
49,"               when visiting Silesia I came up with the idea of ​​immortalizing his beauty in the pictures, I think about making a series of such postcards #slashball #w8jek  show spoiler #slask #gliwice #mojezdjecie #fotografia #smog #tworczoscwlasna #pocztowki ",2019-03-25 07:43:25,WUJEKprzezUzamkniete,559,
50,"               Urus  #smog #Warsaw . . . click to expand the picture. . source: 222.png   +: spierredolada, daloma +2 others  ",2019-03-24 22:41:29,Bzdziuch,4,
51,"               386,67.74 - 3.19 - 21.10 - 3.01 = 386 653.44  Well, the #marmaratonmarzanna, longed for came - I signed up for the third year in a row, but in the last two I did not start. This time we did not fail in health / organization (͡ ° ͜ʖ ͡ °)  I wrote that I'm going to sleep last weekend. Yesterday did not work out ... by cats (let you, @tomekkp - did you have to be right?) And I slept less than 6 hours. But today ... today ... 7h51m !!! I almost got to these mythical 8 hours! (づ • ﹏ •) づ  It's less about sleeping. I got up at 7:30 somehow, got together with everything, we ate breakfast - Sunday and lazy, but (at least I) a bit more delicate than usual. Then at 10 I took a friend to the center, who stayed with us and was therefore ready to fight (͡º ͜ʖ͡º)  I parked in Old Kleparz and decided that it was worth warming up - that's why I did not wait for it, I jogged at a slower pace (5:52 min / km) 3 km with a hook to Błonia. There I met an old friend who I talked to a bit - and then I went to the start, where I had the pleasure of meeting personally @baang (.◕‿‿◕.) There is nothing like meeting young, young (girl, now I saw your age category (ʘ‿ʘ)) and beautiful Mirabelka!  I did not know where to set myself - in the end I decided that with my current, medium form, the position at the end of sector 1:39 would be just like that. The balloons barely showed me in the distance. Divine weather, heat and some sun (sometimes too much) and a nice breeze that smudged elegantly.  Boom! Start! And no, the boom was not there, the countdown also some in two installments, but in the end the music turned into a battle-warming - although not my beloved AC / DC starting Thunderstruck, at which I get such energy that I am ready to accelerate until the asphalt rupture (ò‿⫑⫑ó)  When we finally set off, we managed to get some speed away - somehow people around were sluggish and I started to overtake. Already before the second kilometer I caught up with balloons ... and of course, as usual, I let myself be carried away by emotions and accelerated. ¯ \ _ (ツ) _ / ¯ Of course, at the end I regret it, but what I rushed to mine.  The first five were crazy with madness in the eyes and with an average of 4:28 min / km. Then I slightly lowered my tone, but the voices in my head told me ""or maybe a record dycha?"" and of course I rushed on. ana Król Jadwiga amused me by the least hit LED advertising in the world, advertising services ... obesity treatment clinic (✌ ゚ ∀ ゚) ☞  Unfortunately, the 45-minute tense was not successful, 5 misery seconds ͠ (͠ ° ෴ °) were missing ノ which I might not have lost, if not for many of them just before that nozzle ... Well, maybe another time?  Then it was halfway and went quite well cool, although in the vicinity of Wawel and Plant a little bit of a pace sat down - but after leaving the boulevards I saw that the balloons catch up with me and I accelerated again.  Unfortunately, they finally caught up with me, and at the 19th kilometer I started to lag behind. I threw all the strength into the oven, but still it was 100-150m away to the finish line. Estimation - at the end just before the finishing line they stopped and were warming up to fight! (ʘ‿ʘ) Thanks boys!  Semi-conscious, I came to the finish line. The result 1:38 with a small hook ... Who knows, maybe if I would run nicely with pacemakers and escape for 2 kilometers before the finish line it would be a life-time? Well, what can I advise that stupid ¯ \ _ (ツ) _ / ¯ But it turned out better than in October!  Super gear handling, great water, lying on Błonia great, delicious żurek - great! It was great, I played wonderfully and sensationally felt - thank the organizers and congratulations to all contributors! In this friend who traditionally shamed me with the result and traditionally took first place in her age group ...  After that, it was only a peaceful 3 km retirement (6:21 min / km) pace to the car and driving home for dinner.  Have a nice week!  show spoiler #finefeta #gaiajzwykopem #bieganie #enronczlapie #ruszkrakow and traditional #pokazmorde  show the whole source: x3.wykop.pl   +: lubie-cheesenik, Akuku69 +28 others  ",2019-03-24 20:59:11,enron,30,
52,"               #smog no smog, nice map on the map (͡ ° ͜ʖ ͡ °) #air pollution . . . click to expand the picture. . source: air_quality.png   +: MicroPepe, slavas +2 others  ",2019-03-24 00:15:59,wjtk,4,
